"Ad Extremas","","Seminaries for Native Clergy","June 24 , 1893"
"In Plurimis","","On the Abolition of Slavery","May 5 , 1888"
"Inimica Vis","","On Freemasonry","December 8 , 1892"
"Inscrutabili Dei Consilio","","On the Evils of Society","April 21 , 1878"
"Insignes","","On the Hungarian Millenium","May 1 , 1896"
"Iucunda Semper Expectatione","","On the Rosary","September 8 , 1894"
"Laetitiae Sanctae","","Commending Devotion to the Rosary","September 8 , 1893"
"Libertas","","On the Nature of Human Liberty","June 20 , 1888"
"Licet Multa","","On Catholics in Belgium","August 3 , 1881"
"Litteras A Vobis","","On the Clergy in Brasil","July 2 , 1894"
"Longinqua","","On Catholicism in the United States","January 6 , 1895"
"Magnae Dei Matris","","On the Rosary","September 8 , 1892"
"Magni Nobis","","On the Catholic University of America","March 7 , 1889"
"Militantis Ecclesiae","","On St . Peter Canisius","August 1 , 1897"
"Mirae Caritatis","","On the Holy Eucharist","May 28 , 1902"
"Misericors Dei Filius","","Constitution On the Law of the Franciscan third Order secular","May 30 , 1883"
"Nobilissima Gallorum Gens","","On the Religious Question in France","February 8 , 1884"
"Octobri Mense","","On the Rosary","September 22 , 1891"
"Officio Sanctissimo","","On the Church in Bavaria","December 22 , 1887"
"Omnibus Compertum","","On Unity Among the Greek","July 21 , 1900"
"Orientalium Dignitas","","On the Churches of the East","November 30 , 1894"
"Pastoralis Officii","","On the Morality of Deuling","September 12 , 1891"
"Pastoralis","","On Religious Union","June 25 , 1891"
"Paternae","","On the Education of the Clergy","September 18 , 1899"
"Pergrata","","On the Church in Portugal","September 14 , 1886"
"Permoti Nos","","On Social Conditions in Belgium","July 10 , 1895"
"Praeclara Gratulationis Publicae","","The Reunion of Christendom","June 20 , 1894 [ External source ]"
"Providentissimus Deus","","On the Study of Holy Scripture","November 18 , 1893"
"Quae Ad Nos","","On the Church in Bohemia and Moravia","November 22 , 1902"
"Quam Aerumnosa","","On Italian Immigrants","December 10 , 1888"
"Quam Religiosa","","On Civil Marriage Law","August 16 , 1898"
"Quamquam Pluries","","On Devotion to St . Joseph","August 15 , 1889"
"Quarto Abeunte Saeculo","","On Christopher Columbus","July 16 , 1892"
"Quod Anniversarius","","On His Sacerdotal Jubilee","April 1 , 1888"
"Quod Apostolici Muneris","","On Socialism","December 28 , 1878"
"Quod Auctoritate","","Proclaiming a Jubilee","December 22 , 1885"
"Quod Multum","","On the Liberty of the Church","August 22 , 1886"
"Quod Votis","","On the Proposed Catholic University","April 30 , 1902"
"Quum Diuturnum","","On the Latin American Bishops&apos; Plenary Council","December 25 , 1898"
"Reputantiubus","","On the Language Question in Bohemia","August 20 , 1901"
"Rerum Novarum","","On Capitol and Labor","May 15 , 1891"
"Saepe Nos","","On Boycotting in Ireland","June 24 , 1888"
"Sancta Dei Civitas","","On Mission Societies","December 3 , 1880"
"Sapientiae Christianae","","On Christians as Citizens","January 10 , 1890"
"Satis Cognitum","","On the Unity of the Church","June 29 , 1896"
"Spectata Fides","","On Christian Education","November 27 , 1885"
"Spesse Volte","","On the Suppression of Catholic Institutions","August 5 , 1898"
"Superiore Anno","","On the Recitation of the Rosary","August 30 , 1884"
"Supremi Apostolatus Officio","","On Devotion to the Rosary","September 1 , 1883"
"Tametsi Futura Prospicientibus","","On Jesus Christ the Redeemer","November 1 , 1900"
"Testem Benevolentiae Nostrae","","Virtue , Nature and Grace , and Americanism","January 22 , 1899"
"Urbanitatis Veteris","","On the Foundation of a Seminary in Athens","November 20 , 1901"
"Vi E Ben Noto","","On the Rosary and Public Life","September 20 , 1887"

