"Ad Extremas","","Seminaries for Native Clergy","June 24 , 1893"
"Quum Diuturnum","","On The Latin American Bishop&apos;s Plenary Council","December 25 , 1898"
"Reputantiubus","","On The Language Question In Bohemia","August 20 , 1901"
"Rerum Novarum","","On the Condition of the Working Classes","May 15 , 1891"
"Saepe Nos","","On Boycotting in Ireland","June 24 , 1888"
"Sancta Dei Civitas","","On Mission Societies","December 3 , 1880"
"Sapientiae Christianae","","On Christians as Citizens","January 10 , 1890"
"Satis Cognitum","","On The Unity Of The Church","June 29 , 1896"
"Spectata Fides","","On Christian Education","November 27 , 1885"
"Spesse Volte","","On The Suppression Of Catholic Institutions","August 5 , 1898"
"Superiore Anno","","On the Recitation Of The Rosary","August 30 , 1884"
"Supremi Apostolatus Officio","","On Devotion of the Rosary","September 1 , 1883"
"Tametsi Futura Prospicientibus","","Jesus Christ The Redeemer","November 1 , 1900"
"Testem Benevolentiae Nostrae","","Virtue , Nature And Grace , With Regard To Americanism","January 22 , 1899"
"Urbanitatis Veteris","","On The Foundation Of A Seminary In Athens","November 20 , 1901"
"Vi E Ben Noto","","On the Rosary and Public Life","September 20 , 1887"

