"Image","Name","Origin","Heat","Pod Size","Description"
"","Pequin","United States and Mexico","100,000â\u0080\u0093140,000 SR","","Also spelled piquÃ­n"
"","Piment d'Espelette[10]","Basque Country (French part)","1,500 - 2,500 SR","","Fresh fruits, plants and seeds are known as \"Gorria\", dried fruits are called \"Piment d'Espelette\". \"Gorria\" is the Basque word for \"red\". Grown in Espelette since ca. 1650."
"","Pimiento De PadrÃ³n","Spain","","",""
"","Poblano[10]","Mexico","1,000â\u0080\u00932,000 SR","13 cm (5.1 in)","The large, heart-shaped, dark green fruit is extremely popular in Mexico, often to make chile relleno. When dried, it is referred to as an ancho or mulato."
"","Polostra-Rokita Pepper","","30,000â\u0080\u009350,000 SR","",""
"","Prik Kee Nu","Thailand","50,000â\u0080\u0093100,000 SR","3 cm (1.2 in)","One of many cultivars called Thai pepper, it has very short fruit, and is very hot.[4] Thai: à¸\u009Eà¸£à¸´à¸\u0081à¸\u0082à¸µà¹\u0089à¸«à¸\u0099à¸¹, rtgs: phrik khi nu, IPA: [pÊ°rÃ­k kÊ°Ã®Ë\u0090 nÇ\u0094Ë\u0090], literal: Mouse\/rat dropping chili."
"","Purple Flash","","","","Ornamental"
"","Purple JalapeÃ±o","","","","JalapeÃ±o-like pepper that turns purple before ripening and becoming red."
"","Puya","Mexico","5,000 SR[17]","","Capsicum annuum L.,[18] hot, medium-size, green to red, and tapered[19] Also known as a 'Pulla'."
"","Purple Beauty","United States","0 SR","",""
"","Quadrato d'Asti Giallo","Italy","0 SR","",""
"","Quadrato d'Asti Rosso","Italy","0 SR","",""
"","Ram Horn Fireboy","Hungary","35,000 SR","180 mm (7 in)",""
"","Red Belgian","Belgium","","89 mm (3.5 in)",""
"","Red Cheese","","0 SR","",""
"","Red Marconi","Italy","0 SR","180 mm (7 in)",""
"","Red Mini Bell","","","38 mm (1.5 in)",""
"","Rezha Macedonian","Macedonia","","","The name means \"engraved\"."
"","Ring of Fire","","50,000 SR","",""
"","Rio Grande 21[13]","United States","","",""
"","Rooster Spur","","","51 mm (2 in)",""
"","Santa Fe Grande[10]","","","","The Santa Fe Grande is a very prolific variety used in the Southwestern United States. The conical, blunt fruits ripen from greenish-yellow, to orange-yellow to red. The peppers grow upright on 24-in plants. Santa Fe Grande has a slightly sweet taste and is fairly mild in pungency."
"","Sandia[13]","United States","","",""
"","Santaka[10]","","","","Heirloom Asian chili."
"","Serrano[10]","Mexico","10,000â\u0080\u009323,000 SR","5 cm (2.0 in)","The thin, tapered fruit turns red when mature. Due to its thin skin, it does not need to be peeled before use."
"","Serrano TampiqueÃ±o","United States","15,000â\u0080\u009325,000 SR","57 mm (2.25 in)",""
"","Sheepnose Pimento","United States","0 SR","",""
"","Shishito","Japan","","",""
"","Sigaretta di Bergamo","Italy","0 SR","",""
"","Siling Mahaba","Philippines","","","A chili pepper grown in the Philippines, and a popular ingredient in Filipino Cuisine"
"","Spanish Piquillo[10]","Spain","","",""
"","Sport Pepper","United States","300â\u0080\u0093500 SR","4 cm (1.6 in)","Superficially resembling both Tabasco and serrano peppers, the sport pepper is its own distinct cultivar[20][21] that is much milder than either of those. It is commonly pickled and used in Southern cooking and on Chicago-style hot dogs."
"","Super Chili[22]","","40,000â\u0080\u009350,000 SR","","Long and thin. Grows from green to red."
"","Sweet Chocolate","","0 SR","",""
"","Sweet Red Stuffing Pepper","United States","0 SR","25â\u0080\u009351 mm (1â\u0080\u00932 in)",""
"","Sweet Yellow Stuffing Pepper","United States","0 SR","25â\u0080\u009351 mm (1â\u0080\u00932 in)",""
"","Syrian Goat Horn","","","180â\u0080\u0093200 mm (7â\u0080\u00938 in)",""
"","Syrian Three Sided","Syria","","150â\u0080\u0093200 mm (6â\u0080\u00938 in)",""
"","Takanotsume[10]","","","",""
"","Tangerine Dream","","","76 mm (3 in)",""
"","Tam JalapeÃ±o","","1,000â\u0080\u00931,500 SR","","Similar to a jalapeÃ±o, but with significantly less heat."
"","Tequila","","0 SR","","Purple bell variety, not to be confused with the Tequila Sunrise, which is yellow."
"","Tequila Sunrise Pepper","","1000â\u0080\u00935000 SR","150â\u0080\u0093170 mm (6â\u0080\u00936.5 in)","Pastel orange in color."
"","Tiburon Pepper","","2,000 SR","","Hybrid improvement of the poblano pepper. Resistant to bacterial spot and tobacco mosaic virus."
"","Topepo Rosso","","0 SR","",""
"","Thai Yellow Chili","","","","Golden yellow version of the Bird's Eye (Thai) chili."
"","Tunisian Baklouti","Tunisia","","",""
"","Tien Tsin","China","50,000â\u0080\u009375,000 SR","","Grown and used in China"
"","Violet Sparkle","","0 SR","",""
"","White Cloud","","0 SR","","Ivory colored bell pepper."
"","White Lakes Pepper","Russia","0 SR","",""
"","Yellow Monster","","","200 mm (8 in)",""

