"Fiction work(s)","Film adaptation(s)"
"The Pickwick Papers (1836â\u0080\u00931837) (serial), (1837) (novel), Charles Dickens","The Pickwick Papers (1913) The Adventures of Mr. Pickwick (1921) The Pickwick Papers (1952)"
"The Picture of Dorian Gray (1890), Oscar Wilde","Dorian Grays PortrÃ¦t (1910) The Picture of Dorian Gray (1913) The Picture of Dorian Gray (1916) Das Bildnis des Dorian Gray (1917) Az Ã\u0089let kirÃ¡lya (The Picture of Dorian Gray) (1918) The Picture of Dorian Gray (1945) El Retrato de Dorian Gray (1969) (TV) Dorian Gray (a. k. a. The Evils of Dorian Gray or The Secret of Dorian Gray) (1970) The Picture of Dorian Gray (1973) (TV) The Picture of Dorian Gray (1976) (TV) Le Portrait de Dorian Gray (1977) The Sins of Dorian Gray (1983) (TV) Dorian (a. k. a. Pact with the Devil) (2001) The League of Extraordinary Gentlemen (2003) Dorian (2004) The Picture of Dorian Gray (2004) The Picture of Dorian Gray (2006) The Picture of Dorian Gray (2007) The Picture (of Dorian Gray) (2009) Dorian Gray (2009)"
"The Pillar of Light (1990), Gerald N. Lund","The Work and the Glory (2004)"
"Pin (1981), Andrew Neiderman","Pin (1988)"
"Pioneer, Go Home! (1959), Richard P. Powell","Follow That Dream (1964)"
"The Pirates! (2004â\u0080\u00932012) (series), Gideon Defoe The Pirates! in an Adventure with Scientists (2004) * The Pirates! in an Adventure with Whaling (2005)","The Pirates! In an Adventure with Scientists (2012)"
"Pity My Simplicity (1944), Christopher Massie","Love Letters (1945)"
"La PlanÃ¨te des singes (1963), Pierre Boulle","Planet of the Apes (1968â\u0080\u00931973, 2001â\u0080\u0093present) (series) Planet of the Apes (1968) * Beneath the Planet of the Apes (1970) ** Escape from the Planet of the Apes (1971) ** * Conquest of the Planet of the Apes (1972) ** ** Battle for the Planet of the Apes (1973) Planet of the Apes (2001) * Rise of the Planet of the Apes (2011)"
"Pleasure Island (1949), William Maier","The Girls of Pleasure Island (1953)"
"Point de lendemain: conte dÃ©diÃ©e Ã la reine (1876), Dominique Vivant","The Lovers (Les Amants) (1958)"
"The Polar Express (1985), Chris Van Allsburg","The Polar Express (2004)"
"Pollyanna (1913), Eleanor H. Porter","Pollyanna (1920) Pollyanna (1960) Hayat sevince gÃ¼zel (1971) Pollyanna (1973) (TV) (serial) The Adventures of Pollyanna (1982) (TV) Polly (1989) (TV) * Polly: Comin' Home! (1990) (TV) Pollyanna (2003) (TV)"
"Le Pont de la RiviÃ¨re Kwai (1952), Pierre Boulle","The Bridge on the River Kwai (1957) * Return from the River Kwai (1988)"
"Poodle Springs (1959â\u0080\u00931988) (written), (1989) (published), Raymond Chandler and Robert B. Parker","Poodle Springs (1998) (TV)"
"The Pope of Greenwich Village (1979), Vincent Patrick","The Pope of Greenwich Village (1984)"
"PopiÃ³Å\u0082 i diament (Ashes and Diamonds) (1948), Jerzy Andrzejewski","PopiÃ³Å\u0082 i diament (Ashes and Diamonds) (1958)"
"Portnoy's Complaint (1969), Philip Roth","Portnoy's Complaint (1972)"
"Portrait of Jennie (1940), Robert Nathan","Portrait of Jennie (1948)"
"The Poseidon Adventure (1972), Paul Gallico","The Poseidon Adventure (1972) * Beyond the Poseidon Adventure (1979) The Poseidon Adventure (2005) Poseidon (2006)"
"The Positronic Man (1993), Isaac Asimov and Robert Silverberg","Bicentennial Man (1999)"
"Possession: A Romance (1990), A. S. Byatt","Possession (2002)"
"The Postman (1985), David Brin","The Postman (1997)"
"The Postman Always Rings Twice (1934), James Cain","Le Dernier Tournant (The Last Turning) (1939) Ossessione (Obsession) (1942) The Postman Always Rings Twice (1946) The Postman Always Rings Twice (1981)"
"The Power (1956), Frank M. Robinson","The Power (1968)"
"The Power and the Glory (1940), Graham Greene","The Fugitive (1947)"
"The Power of One (1989), Bryce Courtenay","The Power of One (1992)"
"PoÅ¼egnania (1948), StanisÅ\u0082aw Dygat","Farewells (1958)"
"Presumed Innocent (1987), Scott Turow","Presumed Innocent (1990)"
"Pride and Prejudice (1813), Jane Austen","Pride and Prejudice (1940) Pride & Prejudice: A Latter-Day Comedy (2003) Bride and Prejudice (2004) Pride & Prejudice (2005)"
"The Prince and the Pauper (1881), Mark Twain","The Prince and the Pauper (1909) The Prince and the Pauper (1915) Der Prinz und der Bettelknabe (1920) Yiskor (1933) The Prince and the Pauper (1937) The Prince and the Pauper (1943) The Prince and the Pauper (1962) Raja Aur Runk (1968) The Adventures of the Prince and the Pauper (1969) Princ a chudas (1971) (TV) Prints i nishchiy (1972) (TV) Crossed Swords (a. k. a. The Prince and the Pauper) (1977) Ringo (1978) (TV) (special) Trading Places (1983) The Prince and the Pauper (1990) (short film) Dave (1993) The Prince and the Pauper (1995) It Takes Two (1995) The Prince and the Pauper (1997) The Prince and the Surfer (1999) The Pooch and the Pauper (2000) (TV) The Prince and the Pauper (2000) (TV) Barbie as the Princess and the Pauper (2004) The Prince and the Pauper (2005) Garfield: A Tale of Two Kitties (2006) A Modern Twain Story: The Prince and the Pauper (2007)"
"The Prince of Tides (1986), Pat Conroy","The Prince of Tides (1991)"
"The Princess Bride (1973), William Goldman","The Princess Bride (1987)"
"The Princess Diaries (2000â\u0080\u00932009) (series), Meg Cabot","The Princess Diaries (2002â\u0080\u00932004) (series) The Princess Diaries (2002) * The Princess Diaries 2: Royal Engagement (2004)"
"A Princess of Mars (1917), Edgar Rice Burroughs","Princess of Mars (2009) (V) John Carter (2012)"
"The Prisoner of Zenda (1894), Anthony Hope","The Prisoner of Zenda (1913) The Prisoner of Zenda (1915) The Prisoner of Zenda (1922) The Prisoner of Zenda (1937) The Prisoner of Zenda (1952) The Prisoner of Zenda (1979) The Prisoner of Zenda (1984)"
"Promise at Dawn (1961), Romain Gary","Promise at Dawn (1970)"
"Pronto (1993), Elmore Leonard","Pronto (1997) (TV)"
"Professor Unrat (1905), Heinrich Mann","Der blaue Engel (1930)"
"Psycho (1959), Robert Bloch","Psycho (1960) * Psycho II (1983) ** Psycho III (1986) ** * Psycho IV: The Beginning (1990) (TV) Psycho (1998)"
"Psycho II (1982), Robert Bloch","Psycho II (1983)"
"The Puppet Masters (1951), Robert A. Heinlein","The Brain Eaters (1958) The Puppet Masters (1994)"
"The Purple Cloud (1901), M. P. Shiel The End of the World (1955), Ferdinand Reyher","The World, the Flesh and the Devil (1959)"
"Pursuit (1963), Richard Unekis","Dirty Mary, Crazy Larry (1974)"

