"City served\/location","ICAO","IATA","Airport name"
"Cooktown","YCKN","CTN","Cooktown Airport"
"Croydon","YCRY","CDQ","Croydon Airport"
"Cunnamulla","YCMU","CMA","Cunnamulla Airport"
"Dalby","YDAY","DBY","Dalby Airport"
"Darnley Island","YDNI","NLF","Darnley Island Airport"
"Davenport Downs","YDPD","DVP","Davenport Downs Airport"
"Delta Downs","YDLT","DDN","Delta Downs Airport"
"Diamantina Lakes","","DYM","Diamantina Lakes Airport"
"Dirranbandi","YDBI","DRN","Dirranbandi Airport"
"Dixie","YDIX","DXD","Dixie Airport"
"Doomadgee","YDMG","DMD","Doomadgee Airport"
"Dorunda","YDOR","DRD","Dorunda Airport"
"Dorunda","YDOR","DRD","Dorunda Airport"
"Drumduff","YDDF","DFP","Drumduff Airport"
"Dunbar","YDBR","DNB","Dunbar Airport"
"Dunk Island","YDKI","DKI","Dunk Island Airport"
"Dunwich","","SRR","Dunwich Airport"
"Durham Downs","YDRH","DHD","Durham Downs Airport"
"Durrie","YDRI","DRR","Durrie Airport"
"Dysart","YDYS","DYA","Dysart Airport"
"Einasleigh","YEIN","EIH","Einasleigh Airport"
"Eloise Copper","YESE","ERQ","Elrose Mine Airport"
"Emerald","YEML","EMD","Emerald Airport"
"Fraser Island","YORC","OKB","Orchid Beach Airport"
"Gamboola","YGAM","GBP","Gamboola Airport"
"Georgetown","YGTN","GTT","Georgetown Airport"
"Gladstone","YGLA","GLT","Gladstone Airport"
"Gayndah","YGAY","GAH","Gayndah Airport"
"Glengyle","YGLE","GLG","Glengyle Airport"
"Glenormiston","YGLO","GLM","Glenormiston Airport"
"Gold Coast \/ Coolangatta","YBCG","OOL","Gold Coast Airport"
"Goondiwindi","YGDI","GOO","Goondiwindi Airport"
"Great Keppel Island","YGKL","GKL","Great Keppel Island Airport"
"Greenvale","YGNV","GVP","Greenvale Airport"
"Gregory","YGDS","GGD","Gregory Downs Airport"
"Gympie","YGYM","GYP","Gympie Airport"
"Hamilton Island","YBHM","HTI","Great Barrier Reef Airport (Hamilton Island Airport)"
"Headingly","YHDY","HIP","Headingly Airport"
"Heathlands","YHTL","HAT","Heathlands Airport"
"Helensvale","","HLV","Helensvale Airport"
"Hervey Bay","YHBA","HVB","Hervey Bay Airport"
"Hopevale","","HPE","Hopevale Airport"
"Horn Island","YHID","HID","Horn Island Airport"
"Hughenden","YHUG","HGD","Hughenden Airport"
"Iffley","YIFY","IFF","Iffley Airport"
"Ingham","YIGM","IGH","Ingham Airport"
"Injune","YINJ","INJ","Injune Airport"
"Inkerman","YIKM","IKP","Inkerman Airport"
"Innisfail","YIFL","IFL","Innisfail Airport"
"Isisford","YISF","ISI","Isisford Airport"
"Julia Creek","YJLC","JCK","Julia Creek Airport"
"Jundah","YJDA","JUN","Jundah Airport"
"Kalpowar","YKPR","KPP","Kalpowar Airport"
"Kamaran Downs","","KDS","Kamaran Downs Airport"
"Kamileroi","YKML","KML","Kamileroi Airport"
"Karumba","YKMB","KRB","Karumba Airport"
"Kingaroy","YKRY","KGY","Kingaroy Airport"
"Koolatah","YKLA","KOH","Koolatah Airport"
"Koolburra","YKLB","KKP","Koolburra Airport"
"Kowanyama","YKOW","KWM","Kowanyama Airport"
"Kubin (Moa Island)","YKUB","KUG","Kubin Airport"
"Lady Elliot Island","","LYT","Lady Elliot Island Airport"
"Lakefield","YLFD","LFP","Lakefield Airport \/ Rinyirru Airport"
"Lakeland","YLND","LKD","Lakeland Downs Airport"
"Laura","YLRA","LUU","Laura Airport"
"Lawn Hill","YLAH","LWH","Lawn Hill Airport"
"Linda Downs","","LLP","Linda Downs Airport"
"Lindeman Island","YLIN","LDC","Lindeman Island Airport"
"Lizard Island","YLZI","LZR","Lizard Island Airport"
"Lockhart River","YLHR","IRG","Lockhart River Airport"
"Longreach","YLRE","LRE","Longreach Airport"
"Lorraine","YLOR","LOA","Lorraine Airport"
"Lotus Vale","YLOV","LTV","Lotus Vale Station Airport"
"Lyndhurst Station","YLHS","LTP","Lyndhurst Station Airport"
"Mabuiag Island","YMAA","UBB","Mabuiag Island Airport"
"Mackay","YBMK","MKY","Mackay Airport"
"Mareeba","YMBA","MRG","Mareeba Airfield"
"Marion Downs","YMWX","MXD","Marion Downs Airport"
"Marcoola \/ Sunshine Coast","YBSU","MCY","Sunshine Coast Airport"
"Maryborough","YMYB","MBH","Maryborough Airport"
"Merluna","YMEU","MLV","Merluna Airport"
"Middlemount","YMMU","MMM","Middlemount Airport"
"Miles","YMLS","WLE","Miles Airport"
"Miners Lake","","MRL","Miners Lake Airport"
"Mitchell","YMIT","MTQ","Mitchell Airport"
"Monkira","YMNK","ONR","Monkira Airport"
"Monto","YMTO","MNQ","Monto Airport"
"Mooraberree","YMOO","OOR","Mooraberree Airport"
"Moranbah","YMRB","MOV","Moranbah Airport"
"Moreton \/ Wenlock","YMOT","MET","Moreton Airport"
"Morney","YMNY","OXY","Morney Airport"
"Mornington Island","YMTI","ONG","Mornington Island Airport"
"Mount Gordon Mine","YGON","GPD","Mount Gordon Airport"
"Mount Isa","YBMA","ISA","Mount Isa Airport"
"Murray Island","YMUI","MYI","Murray Island Airport"
"Musgrave","YMGV","MVU","Musgrave Airport"
"Muttaburra","YMTB","UTB","Muttaburra Airport"
"Nappa Merrie","YNAP","NMR","Nappa Merrie Airport"
"New Laura","YLRS","LUT","New Laura Airport"
"New Moon","","NMP","New Moon Airport"
"Noosaville \/ Noosa","YNSH","NSV","Noosa Airport"
"Normanton","YNTN","NTN","Normanton Airport"
"Oban","","OBA","Oban Airport"
"Orientos","","OXO","Orientos Airport"
"Orpheus Island","","ORS","Orpheus Island Resort Waterport"
"Osborne Mine","YOSB","OSO","Osborne Mine Airport"
"Palm Island","YPAM","PMK","Palm Island Airport"
"Phosphate Hill","YTMO","PHQ","The Monument Airport"
"Pormpuraaw \/ Edward River","YPMP","EDR","Edward River Airport"
"Proserpine","YBPN","PPP","Whitsunday Coast Airport"
"Quilpie","YQLP","ULP","Quilpie Airport"
"Redcliffe City (Rothwell)","YRED","","Redcliffe Airport"
"Richmond","YRMD","RCM","Richmond Airport"
"Robinhood","YROB","ROH","Robinhood Airport"
"Rockhampton","YBRK","ROK","Rockhampton Airport"
"Rokeby","","RKY","Rokeby Airport"
"Roma","YROM","RMA","Roma Airport"
"Roseberth","","RSB","Roseberth Airport"
"Rosella Plains","","RLP","Rosella Plains Airport"
"Rutland Plains","YRTP","RTP","Rutland Plains Airport"
"Saibai Island","YSII","SBR","Saibai Island Airport"
"Sandringham Station","","SRM","Sandringham Station Airport"
"Silver Plains","","SSP","Silver Plains Airport"
"South Galway","YSGW","ZGL","South Galway Airport"
"Southport","YSPT","SHQ","Southport Airport"
"Spring Creek","YSPK","SCG","Spring Creek Airport"
"Springvale","YSPV","KSV","Springvale Airport"
"St George","YSGE","SGO","St George Airport"
"St Pauls","","SVM","St Pauls Airport"
"Stanthorpe","YSPE","SNH","Stanthorpe Airport"
"Stephens Island","","STF","Stephens Island Airport"
"Strathmore","YSMR","STH","Strathmore Airport"
"Sue Islet","YWBS","SYU","Warraber Island Airport"
"Tanbar","","TXR","Tanbar Airport"
"Tangalooma","YTGA","TAN","Tangalooma Airport"
"Tara","YTAA","XTR","Tara Airport"
"Taroom","YTAM","XTO","Taroom Airport"
"Tewantin","","TWN","Tewantin Airport"
"Thangool","YTNG","THG","Thangool Airport"
"Thargomindah","YTGM","XTG","Thargomindah Airport"
"Theodore","YTDR","TDR","Theodore Airport"
"Thylungra","","TYG","Thylungra Airport"
"Toowoomba","YTWB","TWB","Toowoomba Airport"
"Toowoomba","YBWW","WTB","Brisbane West Wellcamp Airport"
"Torwood","","TWP","Torwood Airport"
"Townsville","YBTL","TSV","Townsville Airport (RAAF Townsville)"
"Trepell","YTEE","TQP","Trepell Airport"
"Undara","YUDA","UDA","Undara Airport"
"Vanrook","YVRS","VNR","Vanrook Airport"
"Wandovale","","MFL","Wandovale - Mount Full Stop Airport"
"Warwick","YWCK","WAZ","Warwick Airport"
"Waverney","","WAN","Waverney Airport"
"Weipa","YBWP","WEI","Weipa Airport"
"Windorah","YWDH","WNR","Windorah Airport"
"Winton","YWTN","WIN","Winton Airport"
"Whitsunday, Shute Harbour","YWHI","WSY","Whitsunday - Shute Harbour Airport"
"Wondai","YWND","WDI","Wondai Airport"
"Wondoola","YWDL","WON","Wondoola Airport"
"Woodstock","YDOP","","Donnington Airpark"
"Wrotham Park","YWMP","WPK","Wrotham Park Airport"
"Yam Island","YYMI","XMY","Yam Island Airport"
"Yorke Island","YYKI","OKR","Yorke Island Airport"

