"Serial No.","Episodes","Game","Serial premiere","Serial finale"
"25","3","Contra III: The Alien Wars (SNES)","November 23, 2012","November 29, 2012"
"26","5","Wild Guns (SNES)","November 30, 2012","December 6, 2012 [F]"
"27","8","Nintendo Land (Wii U)","December 1, 2012","December 24, 2012"
"","1","The Jungle Book (SNES)","December 4, 2012",""
"28","3","Donkey Kong Country Returns (Wii)","December 7, 2012","December 12, 2012"
"","1","Inspector Gadget (SNES)","December 7, 2012",""
"","1","New Super Mario Bros. U (Wii U)","December 8, 2012",""
"","1","Spice World (PS)","December 8, 2012",""
"","1","Mary-Kate and Ashley: Magical Mystery Mall (PS)","December 11, 2012",""
"29","12","Donkey Kong Country 2: Diddy's Kong Quest (SNES)","December 13, 2012","January 4, 2013 [F]"
"30","3","Run Saber (SNES)","December 13, 2012","December 16, 2012"
"","1","Ultraman: Towards the Future (SNES)","December 23, 2012",""
"","1","Star Wars: Rogue Squadron (N64)","December 25, 2012",""
"31","5","Metal Slug X (Wii)","December 26, 2012","January 3, 2013 [F]"
"32","5","Mighty Morphin Power Rangers (SNES)","January 5, 2013","January 13, 2013"
"","1","Dead Space 3 (360)","January 15, 2013",""
"33","3","Amazing Island (GCN)","January 22, 2013","January 27, 2013"
"34","4","Portal 2 (PS3)","February 2, 2013","February 6, 2013"
"","1","Sengoku Basara: Samurai Heroes (PS3)","February 12, 2013",""
"35","3","Incredible Crisis (PS)","February 13, 2013","February 17, 2013"
"36","3","Magic Sword (SNES)","February 14, 2013","February 18, 2013"
"37","3","The King of Dragons (SNES)","February 14, 2013","February 19, 2013"
"38","3","One Piece Mansion (PS)","February 15, 2013","February 20, 2013"
"39","3","Naughty Bear (PS3)","February 18, 2013","February 24, 2013"
"","1","Top Shop (PS)","February 22, 2013",""
"40","2","Viewtiful Joe (GCN)","February 23, 2013","February 24, 2013"
"41","8","Castlevania (NES)","February 26, 2013","March 12, 2013 [F]"
"42","6","Strider 2 (PS)","February 27, 2013","March 11, 2013 [F]"
"","1","Crayon Shin-Chan (NES)","March 1, 2013",""
"","1","Drakkhen (SNES)","March 9, 2013",""
"43","3","The Great Circus Mystery Starring Mickey & Minnie (SNES)","March 13, 2013","March 15, 2013"
"","1","Paperboy 64 (N64)","March 16, 2013",""
"44","4","Wario World (GCN)","March 20, 2013","March 24, 2013"
"","1","Kickle Cubicle (NES)","March 27, 2013",""
"45","4","Disney's Aladdin (GEN)","March 27, 2013","April 1, 2013"
"46","4","Demon's Crest (SNES)","March 28, 2013","April 1, 2013"
"47","4","Bayonetta (PS3)","March 28, 2013","April 2, 2013"
"","1","DJ Boy (GEN)","April 2, 2013",""
"48","4","Mega Man X7 (PS2)","April 3, 2013","April 6, 2013"
"49","8","Pocky & Rocky (SNES)","April 3, 2013","May 3, 2013"
"","1","Plok (SNES)","April 7, 2013",""
"50","8","Star Fox 64 (N64)","April 8, 2013","April 25, 2013"
"","1","Shovel Knight (Win)","April 9, 2013",""
"51","3","Gradius III (SNES)","April 21, 2013","April 23, 2013"
"","1","Toki (NES)","April 25, 2013",""
"52","4","Mega Man X (SNES)","April 26, 2013","April 29, 2013"
"53","8","Chulip (PS2)","April 30, 2013","May 27, 2013"
"","1","Dog's Life (PS2)","May 4, 2013",""
"54","4","Mister Mosquito (PS2)","May 13, 2013","May 17, 2013"
"55","3","Clash at Demonhead (NES)","May 14, 2013","May 17, 2013"
"","1","Astyanax (NES)","May 19, 2013",""
"56","4","The Typing of the Dead (Win)","May 20, 2013","May 17, 2013"
"57","3","Glover (N64)","May 21, 2013","May 26, 2013"
"58","6","Stretch Panic (PS2)","May 29, 2013","June 8, 2013"
"59","4","The Adventures of Cookie & Cream (PS2)","May 30, 2013","June 5, 2013"
"60","5","Shatterhand (NES)","June 12, 2013","June 22, 2013"
"61","5","Super Star Wars (SNES)","June 13, 2013","June 24, 2013"
"","1","A Bug's Life (N64)","June 21, 2013",""

