"Name","Organisation","Continent","Country","First volume","Last volume","JCR Index","Website"
"Birds & Blooms","","Miscellaneous","","","","NA","[27]"
"Birdwatch","","Europe","","","","NA",""
"British Birds","","Europe","","","","NA",""
"Bulletin of the African Bird Club","African Bird Club","Africa","","","","NA",""
"Bulletin of the British Ornithologists' Club","British Ornithologists' Club","International","UK","1882","present","NA","[28]"
"Buteo","","Europe","","","","NA",""
"BW-Rivista italiana di Birdwatching","","Europe","Italy","","","NA",""
"Canadian Field-Naturalist","Ottawa Field-Naturalists' Club","North America","Canada","1880","present","NA","[29]"
"Cassinia","Delaware Valley Ornithological Club","North America","USA","1901","present","NA","[30]"
"The Chat","Carolina Bird Club","North America","USA","1937","present","NA","[31]"
"Ciconia","Bird Study and Protection Society of Serbia","Europe","Serbia","1989","present","NA","http:\/\/www.pticesrbije.rs\/eng\/index.html"
"Columba","","Europe","","","","NA",""
"The Condor","Cooper Ornithological Society","North America","USA","1899","present","Yes","[32]"
"Corella","Australian Bird Study Association","Australasia","","","","NA",""
"Cork Bird Report","Birdwatch Cork","Europe","Ireland","","","NA","[33]"
"Cotinga","Neotropical Bird Club","Europe","","","","NA","[34]"
"Crex","","Europe","","","","NA",""
"Der Falke","","Europe","","","","NA","[35]"
"Dutch Birding","","Europe","","","","NA",""
"El Hornero","Aves Argentinas\/AsociaciÃ³n OrnitolÃ³gica del Plata","South America","Argentina","1917","present","NA","[36]"
"Emu","Royal Australasian Ornithologists Union","Australasia","Australia","1901","present","Yes","[37]"
"â\u0080\u0098Elepaio","Hawaii Audubon Society","North America","USA","","","NA","[38]"
"Florida Field Naturalist","Florida Ornithological Society","North America","USA","1973","present","NA","[39]"
"Forktail","Oriental Bird Club","Asia","","","","NA","[40]"
"Gli Uccelli d'Italia","","Europe","Italy","1976","present","NA",""
"Hirundo","Estonian Ornithological Society","Europe","Estonia","1988","present","NA","[41]"
"Ibis","British Ornithologists' Union","Europe","UK","1859","present","Yes","[42]"
"Indian Birds","New Ornis Foundation","Asia","India","2004","present","NA","[43]"
"Irish Birding News","","Europe","Ireland","","","NA",""
"Irish Birds","BirdWatch Ireland","Europe","Ireland","1977","present","NA","[44]"
"Japanese Journal of Ornithology","","Asia","Japan","","","NA","[45]"
"Journal of Avian Biology","","Europe","Sweden","1970","present","Yes","[46]"
"Journal of Field Ornithology","Association of Field Ornithologists","North America","USA","1925","present","Yes","[47]"
"Journal of Ornithology","Deutsche Ornithologen-Gesellschaft","Europe","Germany","1853","present","Yes","[48]"
"Journal of Raptor Research","Raptor Research Foundation","North America","USA","1967","present","Yes","Journal of Raptor Research"
"Journal of the Yamashina Institute for Ornithology","","Asia","","","","NA","[49]"
"Kentucky Warbler","","North America","","","","NA",""
"Kingbird","","North America","","","","NA",""
"Kukila","","Asia","","","","NA","[50]"
"Living Bird","Cornell Lab of Ornithology","North America","USA","1962","Present","No","Living Bird online"
"Malimbus","","Africa","","","","NA",""
"Marine Ornithology","ASG\/PSG\/ASG\/TSG\/NZG\/JSG","International","-","","","NA","[51]"
"Maryland Birdlife","Maryland Ornithological Society","North America","USA","1945","present","NA","[52]"
"Michigan Birds and Natural History","Michigan Audubon","North America","USA","1994","present","NA","[53]"
"The Migrant","Tennessee Ornithological Society","North America","USA","1930","present","NA","[54]"
"Mississippi Kite","","North America","","","","NA",""
"Nebraska Bird Review","","North America","","","","NA",""
"Neotropical Birding","Neotropical Bird Club","Europe","","","","NA","[55]"
"North American Bird Bander","","North America","","","","NA",""
"North American Birds","","North America","","","","NA",""
"Notornis","Ornithological Society of New Zealand","Australasia","New Zealand","","","NA","[56]"
"The Ohio Cardinal","Ohio Ornithological Society","North America","USA","1978","present","NA","[57]"
"Ontario Birds","","North America","","","","NA",""
"Oregon Birds","","North America","","","","NA",""
"Ornis Fennica","BirdLife Finland","Europe","Finland","1924","present","Yes","[58]"
"Ornis Hungarica","MME - Bird Life Hungary","Europe","Hungary","1991","present","NA","[59]"
"Ornithological Monographs","American Ornithologists' Union","North America","USA","1964","present","Yes","[60]"
"Ornithological Science","","Asia","Japan","2002","present","Yes","[61]"
"Ornithologische Mitteilungen","","Europe","Germany","","","NA",""
"Ornithos","","Europe","France","","","NA","[62]"
"Ornitologia Neotropical","Neotropical Ornithological Society","South America","","1990","present","Yes","[63]"
"OrnitologÃ­a Colombiana","","South America","","","","NA",""
"Ostrich","BirdLife South Africa","Africa","South Africa","1930","present","Yes","[64]"
"Otus","","Europe","","","","NA",""
"Pacific Seabirds","","North America","","","","NA",""
"Panurus","","Europe","Czech Republic","","","NA",""
"Passenger Pigeon","Wisconsin Society for Ornithology","North America","USA","1939","present","NA","[65]"
"Picus","","Europe","Italy","","","NA",""
"Quaderni di Birdwatching","","Europe","Italy","","","NA",""
"QuÃ©bec Oiseaux","","North America","","","","NA",""
"Raptors Conservation","Siberian Environmental Center","Eurasia","Russia","2005","present","No","[66]"
"The Raven","Virginia Society of Ornithology","North America","USA, VA","1930","present","No","[67]"
"The Redstart","Brooks Bird Club","North America","USA, WV","1933","present","NA",""
"Revista Brasileira de Ornitologia (formerly Ararajuba)","Brazilian Ornithological Society (SBO)","South America","Brazil","1987","present","Yes","[68]"
"Revista Catalana d'Ornitologia","Catalan Ornithological Institute","Europe","Spain","1981","present","NA","[69]"
"Ringing & Migration","British Trust for Ornithology","Europe","UK","1975","present","NA","[70]"
"Rivista Italia di Ornitologia","","Europe","Italy","1911","present","NA",""
"The Russian Journal of Ornithology","","Europe","Russia","1992","","NA","[71]"
"Sandgrouse","Ornithological Society of the Middle East","Middle East","United Kingdom","1980","present","NA","[72]"
"Scopus","East Africa Natural History Society","Africa","","","","NA",""
"Scottish Birds","","Europe","","","","NA",""
"Sitta","","Europe","Italy","","","NA",""
"Siyoth","","Asia","Sri Lanka","","","NA","[73]"
"Sluka","","Europe","","","","NA",""
"South Australian Ornithologist","South Australian Ornithological Association","South Australia","Australia","1914","present","NA","[74]"
"South Dakota Bird Notes","","North America","","","","NA","[75]"
"Stilt","Australasian Wader Studies Group","Australasia","Australia","1981","present","NA","[76]"
"Strix","","Asia","Japan","","","NA","[77]"
"Sylvia","","Europe","Czech Republic","","","NA","[78]"
"Tattler","Australasian Wader Studies Group","Australasia","","","","NA","[79]"
"Te Manu","SociÃ©tÃ© d'Ornithologie de PolynÃ©sie","Oceania","French Polynesia","1992","present","NA","[80]"
"Tichodroma","","Europe","Slovakia","","","NA",""
"Utah Birds","","North America","","","","NA",""
"Virginia Birds","Virginia Society of Ornithology","North America","USA","2004","present","NA","[81]"
"Die Vogelwelt","","Europe","Germany","1990","present","NA","[82]"
"Waterbirds","Waterbird Society","North America","USA","","","Yes",""
"Western Birds","Western Field Ornithologists","North America","USA","1970","present","NA","[83]"
"Wilson Journal of Ornithology","Wilson Ornithological Society","North America","USA","1889","1999","Yes","[84]"
"Wingspan","Royal Australasian Ornithologists Union","Australasia","","","","NA",""
"World Birdwatch","BirdLife International","Europe","","","","NA","[85]"

