"Church Father","Date of death","Notes"
"Pseudo-Dionysius the Areopagite","","author of The Divine Names, The Mystical Theology, The Celestial Hierarchy, The Ecclesiastical Hierarchy, and the non-extant Theological Outlines; quoted extensively in the Summa Theologica of Thomas Aquinas"
"Quadratus of Athens[1]","129","wrote a non-extant apology to Emperor Hadrian"
"Rabbula[3][9]","435","ascetic and energetic bishop of Edessa and ally of Cyril of Alexandria who opposed the heretical teachings of Nestorius"
"Romanos the Melodist[9]","556",""
"Sahdona","649","commented on the Psalms[5]"
"Salvian[1][9]","490s","Gallic author of On the government of God"
"Severian of Gabala","408","commented on Genesis[6] and the First and Second Epistle to the Corinthians"
"Severus of Antioch[3][9]","6th century",""
"Sextus Julius Africanus[1][8]","3rd century",""
"Sidonius Apollinaris[1][9]","489",""
"Socrates of Constantinople","5th century",""
"Sophronius[9]","638",""
"Sozomen","450",""
"Sulpicius Severus[9]","420","disciple and biographer of Martin of Tours and author of an Ecclesiastical History[1]"
"Synesius of Syrene[1][9]","414",""
"Tatian","185",""
"Tertullian","222","died a Montanist"
"Theodore of Mopsuestia[1]","428","commented on Acts of the Apostles and the First and Second Epistle to the Corinthians"
"Theodoret of Cyrus","457","continuator of Eusebius of Caesarea[1]"
"Theodotus of Ancyra","4th century",""
"Theophilus of Antioch[1]","180s","first writer known to have used the term Trinity to describe the Father, the Son, and the Holy Spirit"
"Theotimos","407",""
"Tichonius","390","commented on the Apocalypse; his seven principles of interpretation from his Book of Rules inspired Augustine of Hippo [4]"
"Tyrannius Rufinus","410","friend of Jerome and continuator of Eusebius of Caesarea[1] who commented on the Psalms[5]"
"Valerian of Cimiez","460","commented on the Psalms[5]"
"Venantius Fortunatus","7th century","wrote a poem on Easter"
"Victor of Antioch","","commented on the Gospel of Mark[1]"
"Victorinus of Pettau","303","author of On the Creation of the World and a Commentary on the Apocalypse of the Blessed John"
"Vincent of L̩rins","450",""
"Zeno of Verona","371",""
"Pope Zephyrinus","217","commented on the Psalms"

