"#","Mountain [8]","Elevation [8]","Location","National park located in","List","Pictures"
"34","Hehuanshan North Peak","3422 m 11227 ft","Nantou County, Hualien County","Taroko","Majestic Ten #6[i]",""
"35","Hehuanshan East Peak","3421 m 11224 ft","Nantou County, Hualien County","Taroko","Lofty Nine #4[k]",""
"36","Xiaobajianshan","3418 m 11214 ft","Miaoli County","Shei-Pa","Craggy Eight #2[o]",""
"37","Hehuanshan Main Peak","3417 m 11211 ft","Nantou County","Taroko","Gentle Ten #3[g]",""
"38","South Yushan","3383 m 11099 ft","Kaohsiung City","Yushan","Gentle Ten #4[g]",""
"39","Bilushan[xxii]","3371 m 11060 ft","Hualien County, Nantou County","Taroko","Narrow Eight #3[p]",""
"40","Zhuoshedashan","3369 m 11053 ft","Nantou County","","Lofty Nine #5[k]",""
"41","Qilaishan South Peak","3358 m 11017 ft","Nantou County","","Majestic Ten #7[i]",""
"42","Nanshuangtoushan","3356 m 11010 ft","Hualien County, Kaohsiung City","Yushan","Lofty Nine #6[k]",""
"43","Nenggaoshan South Peak","3349 m 10988 ft","Nantou County, Hualien County","","Precipitous Ten #9[c]",""
"44","Zhijiayangdashan","3345 m 10974 ft","Taichung City","Shei-Pa","Eight Beauties #4[d]",""
"45","Baigudashan[xxiii]","3342 m 10965 ft","Nantou County, Taichung City","","Verdant Ten #7[m]",""
"46","Batongguanshan","3335 m 10942 ft","Nantou County","Yushan","Craggy Eight #3[o]",""
"47","Xinkangshan[xxiv]","3331 m 10928 ft","Hualien County","Yushan","Precipitous Ten #10[c]",""
"48","Dandashan","3325 m 10909 ft","Nantou County, Hualien County","","Nine Walls #3[q]",""
"49","Taoshan","3325 m 10909 ft","Hsinchu County, Taichung City","Shei-Pa","Eight Beauties #5[d] Four Beauties #2[l]",""
"50","Jiayangshan[xxv]","3314 m 10873 ft","Taichung City","Shei-Pa","Craggy Eight #4[o]",""
"51","Huoshishan","3310 m 10860 ft","Miaoli County, Taichung City","Shei-Pa","Craggy Eight #5[o]",""
"52","Chiyoushan[xxvi]","3303 m 10837 ft","Hsinchu County, Taichung City","Shei-Pa","Simple Six #1[r] Four Beauties #3[l]",""
"53","Yizeshan[xxvii]","3297 m 10817 ft","Miaoli County, Hsinchu County","Shei-Pa","Simple Six #2[r]",""
"54","Beinanzhushan","3295 m 10810 ft","Kaohsiung City, Taitung County","","Majestic Ten #8[i]",""
"55","Ganzhuowanshan","3284 m 10774 ft","Nantou County","","Narrow Eight #4[p]",""
"56","Taroko Mountain","3283 m 10771 ft","Hualien County","Taroko","Majestic Ten #9[i]",""
"57","Lulushan[xxviii]","3279 m 10758 ft","Kaohsiung City","Yushan","Craggy Eight #7[o]",""
"58","Kaxipananshan","3276 m 10748 ft","Hualien County","Yushan","Remote Nine #4[s]",""
"59","Neilingershan","3275 m 10745 ft","Hualien County","","Majestic Ten #10[i]",""
"60","Lingmingshan","3272 m 10735 ft","Taichung City, Hualien County","Taroko","Eight Beauties #6[d]",""
"61","Jundashan","3265 m 10712 ft","Nantou County","Yushan","Eight Beauties #7[d]",""
"62","Nenggaoshan[xxix]","3262 m 10702 ft","Nantou County, Hualien County","","Lofty Nine #7[k] High Three #3[b]",""
"63","Wandongshan West Peak[xxx]","3258 m 10689 ft","Nantou County","","Remote Nine #5[s]",""
"64","Jianshan[xxxi]","3253 m 10673 ft","Taichung City","Shei-Pa","Nine Walls #5[q]",""
"65","Pingfengshan","3250 m 10663 ft","Hualien County","Taroko","Nine Walls #6[q]",""
"66","Xiaoguanshan","3249 m 10659 ft","Kaohsiung City, Taitung County","","Lofty Nine #8[k]",""
"67","Yixiqingmazhishan","3245 m 10646 ft","Hualien County, Nantou County","","Steep Seven #4[t]",""
"68","Mushan[xxxii]","3241 m 10633 ft","Nantou County","","Simple Six #5[r]",""
"69","Yushan Front Peak","3239 m 10627 ft","Chiayi County, Nantou County","Yushan","Simple Six #5[r]",""
"70","Shimenshan","3237 m 10620 ft","Hualien County, Nantou County","Taroko","Little Eight #2[n]",""
"71","Wushuangshan[xxxiii]","3231 m 10600 ft","Nantou County","","Nine Walls #7[q]",""
"72","Taguanshan[xxxiv]","3222 m 10571 ft","Taitung County, Kaohsiung City","Yushan","Steep Seven #5[t]",""
"73","Mabishanshan[xxxv]","3211 m 10535 ft","Yilan County, Hualien County","Taroko","Level Nine #7[e]",""
"74","Dafenjianshan[xxxvi]","3208 m 10525 ft","Nantou County, Kaohsiung City, Hualien County","Yushan","Pointy Three #3[f]",""
"75","Xueshan East Peak[xxxvii]","3201 m 10502 ft","Taichung City","Shei-Pa","Little Eight #3[n]",""
"76","Nanhuashan[xxxviii]","3184 m 10446 ft","Nantou County, Hualien County","","Narrow Eight #6[p]",""
"77","Guanshanlingshan","3176 m 10420 ft","Taitung County, Kaohsiung City","Yushan","Narrow Eight #7[p]",""
"78","Hainuonanshan","3174 m 10413 ft","Taitung County, Kaohsiung City","","Gentle Ten #6[g]",""
"79","Zhongxueshan","3173 m 10410 ft","Miaoli County","Shei-Pa","Verdant Ten #8[m]",""
"80","Shuanshan","3168 m 10394 ft","Taichung City","Taroko","Eight Beauties #8[d]",""
"81","Ganshufeng[xxxix]","3158 m 10361 ft","Hualien County, Taichung City","Taroko","Little Eight #6[n]",""
"82","Hehuanshan West Peak","3145 m 10318 ft","Nantou County","Taroko","Verdant Ten #9[m]",""
"83","Shemazhenshan[xl]","3141 m 10305 ft","Yilan County, Taichung City","Taroko","Contiguous Six #1[u]",""
"84","Kalayeshan[xli]","3133 m 10279 ft","Hsinchu County, Yilan County","Shei-Pa","Contiguous Six #2[u] Four Beauties #4[l]",""
"85","Kuhanuoxinshan","3115 m 10220 ft","Kaohsiung City","Yushan","Remote Nine #8[s]",""
"86","Jialishan[xlii]","3112 m 10210 ft","Miaoli County","Shei-Pa","Contiguous Six #3[u]",""
"87","Baishishan","3110 m 10203 ft","Nantou County, Hualien County","","Steep Seven #6[t]",""
"88","Panshishan[xliii]","3106 m 10190 ft","Hualien County","Taroko","Remote Nine #9[s]",""
"89","Patuolushan","3101 m 10174 ft","Hualien County","Taroko","Gentle Ten #8[g]",""
"90","Beidawushan[xliv]","3092 m 10144 ft","Pingtung County, Taitung County","","Big Five #5[a]",""
"91","Xiluandashan[xlv]","3081 m 10108 ft","Nantou County","","Steep Seven #7[t]",""
"92","Tafenshan","3070 m 10072 ft","Hualien County, Kaohsiung City","Yushan","Craggy Eight #8[o]",""
"93","Liwuzhushan[xlvi]","3069 m 10069 ft","Hualien County","Taroko","Rocky Ten #9[h]",""
"94","Andongjunshan[xlvii]","3068 m 10066 ft","Hualien County, Nantou County","","Gentle Ten #9[g]",""
"95","Guangtoushan[xlviii]","3060 m 10039 ft","Nantou County, Hualien County","","Level Nine #8[e]",""
"96","Yangtoushan","3035 m 9957 ft","Hualien County","Taroko","Narrow Eight #8[p]",""
"97","Bulakesangshan[xlix]","3026 m 9928 ft","Taitung County, Hualien County","","Nine Walls #9[q]",""
"98","Jupenshan[l]","3022 m 9915 ft","Nantou County","Yushan","Contiguous Six #4[u]",""
"99","Liushunshan","2999 m 9839 ft","Nantou County, Hualien County","","Level Nine #9[e]",""
"100","Lushan","2981 m 9780 ft","Kaohsiung City","Yushan","Contiguous Six #6[u]",""

