"Name","Birth","Birthplace","Death","Place of death","Notes"
"Hyginus","","Athens, Greece","140","Rome, Roman Empire","Bishop of Rome"
"Julian of Sora","","Dalmatia","150","Sora, Campania, Italy",""
"Paternus of Auch","","Bilbao, Spain","150","Auch, France","Bishop of Auch"
"Patiens","","","150","","Bishop of Metz"
"Philo and Agathopodes","","","150","",""
"Novatus","","Rome, Roman Empire","151","",""
"Pius I","","Aquileia, Roman Empire","154","Rome, Roman Empire","Bishop of Rome"
"Germanicus of Smyrna","","","155","Smyrna",""
"Polycarp","69","","155","Smyrna","Bishop of Smyrna"
"Felicitas of Rome and her seven sons","101","Rome, Roman Empire","165","Rome, Roman Empire",""
"Ptolemaeus and Lucius","","","165","Rome, Roman Empire",""
"Justin Martyr","100","Flavia Neapolis","165","Rome, Roman Empire",""
"Abercius of Hieropolis","","","167","","Bishop of Hierapolis"
"Pope Anicetus","","Emesa, Syria","167","Rome, Roman Empire","Bishop of Rome"
"Daniel of Padua","","","168","",""
"Pontianus (Pontian)","","","169","Spoleto, Roman Empire",""
"Constantius of Perugia","","","170","","Bishop of Perugia"
"Hermias","","","170","Comana, Cappadocia",""
"Severinus, Exuperius, and Felician","","","170","Vienne, Gaul",""
"Thraseas","","","170","Smyrna","Bishop of Eumenia, Phrygia"
"Dionysius","","","171","Corinth, Greece","Bishop of Corinth"
"Apollinaris Claudius","","","175","","Bishop of Hierapolis"
"Sagar of Laodicea","","","175","","Bishop of Laodicea"
"Speusippus, Eleusippus, and Melapsippus","","","175","",""
"Victor and Corona","","","176","",""
"Alexander","","","177","Lyons, Gaul",""
"Blandina","","Lyons, Gaul","177","Lyons, Gaul",""
"Glyceria","","","177","Heraclea, Propontis",""
"Pothinus","87","","177","Lyons, Gaul","Bishop of Lyon"
"Martyrs of Lyons","","","177","Lyons, Gaul"
"Pope Soter","","Fondi, Roman Empire","177","Rome, Roman Empire","Bishop of Rome"
"Epipodius and Alexander","","","178","",""
"Concordius","","Rome, Roman Empire","178","Spoleto, Roman Empire",""
"Symphorianus","","","178","",""
"Hegesippus","110","","180","Jerusalem, Palaestina",""
"Herculanils","","","180","Porto, Roman Empire",""
"Leucius","","","180","","Bishop of Brindisi"
"Melito of Sardis","","","180","","Bishop of Sardis"
"Philip of Gortyna","","","180","","Bishop of Gortyna"
"Pinytus","","","180","","Bishop of Cnossus, Crete"
"Scillitan Martyrs","","","180","Scillium, Africa Province",""
"Theophilus of Antioch","","","181","","Bishop of Antioch"
"Antoninus","","","186","",""
"Apollonius the Apologist","","Rome, Roman Empire","186","Rome, Roman Empire",""
"Pope Eleuterus","","Nicopolis, Greece","189","Rome, Roman Empire","Bishop of Rome"
"Dathus","","","190","","Bishop of Ravenna"
"Faustus of Milan","","","190","Milan, Roman Empire",""
"Julius of Rome","","Rome, Roman Empire","190","Rome, Roman Empire",""
"Dionysius of Vienne","","","193","","Bishop of Vienne"
"Serapion of Macedonia","","","195","Macedonia",""
"Theophilus of Caesarea","","","195","","Bishop of Caesarea"
"Victor I","","Africa Province","199","Rome, Roman Empire","Bishop of Rome"
"Liberius of Ravenna","","","200","","Bishop of Ravenna"
"Pantaenus","","","200","",""

