"COMPANY NAME","SYMBOL","INDUSTRY"
"Arco Resources Corp.","ARR","Metals & Mining"
"Arctic Hunter Energy Inc.","AHU","Oil & Gas - E&P"
"Arctic Star Exploration Corp.","ADD",""
"Arcturus Ventures Inc.","AZN",""
"Arcus Development Group Inc.","ADG","Metals & Mining"
"Ardonblue Ventures Inc.","ARB",""
"Arena Minerals Inc.","AN","Metals & Mining"
"Argentex Mining Corporation","ATX","Metals & Mining"
"Argentum Silver Corp.","ASL",""
"Argonaut Exploration Inc.","AGA","Metals & Mining"
"Argus Metals Corp.","AML","Metals & Mining"
"Arian Resources Corp.","ARC","Metals & Mining"
"Arian Silver Corporation","AGQ","Metals & Mining"
"Arianne Phosphate Inc.","DAN","Metals & Mining"
"Arkadia Capital Corp.","AKC.P","Conglomerates"
"Armada Data Corporation","ARD","Online Media"
"Aroway Energy Inc.","ARW","Oil & Gas - E&P"
"ArPetrol Ltd.","RPT","Oil & Gas - E&P"
"Arrowhead Gold Corp.","AWH","Metals & Mining"
"Arrowstar Resources Ltd.","AWS","Metals & Mining"
"Artha Resources Corporation","AHC","Metals & Mining"
"Artisan Energy Corporation","AEC",""
"Asante Gold Corporation","ASE","Metals & Mining"
"ASB Capital Inc.","ASB.P","Conglomerates"
"Ascot Resources Ltd.","AOT","Metals & Mining"
"Ashburton Ventures Inc.","ABR","Metals & Mining"
"Asher Resources Corporation","ACN",""
"Asia Now Resources Corp.","NOW","Metals & Mining"
"AsiaBaseMetals Inc.","ABZ","Metals & Mining"
"Asian Mineral Resources Limited","ASN","Metals & Mining"
"Asian Television Network International Ltd.","SAT","Entertainment"
"Astar Minerals Ltd.","TAR","Metals & Mining"
"Aston Bay Holdings Ltd.","BAY","Metals & Mining"
"Astorius Resources Ltd.","ASQ","Metals & Mining"
"Astrix Networks Inc.","OEE","Industrial Products"
"Astur Gold Corp.","AST","Metals & Mining"
"ATAC Resources Ltd.","ATC","Metals & Mining"
"Atacama Pacific Gold Corporation","ATM",""
"Athabasca Minerals Inc.","ABM","Metals & Mining"
"Athabasca Nuclear Corp.","ASC","Metals & Mining"
"Athabasca Uranium Inc.","UAX","Metals & Mining"
"ATI Airtest Technologies Inc.","AAT","Industrial Products"
"Atico Mining Corporation","ATY",""
"Atlanta Gold Inc.","ATG","Metals & Mining"
"AtmanCo Inc.","ATW","Business Services"
"Atoro Capital Corp.","TTO.P","Conglomerates"
"Augusta Industries Inc.","AAO",""
"Augyva Mining Resources Inc.","AUV","Metals & Mining"
"Aumento Capital IV Corporation","ACV.P","Conglomerates"
"Aura Silver Resources Inc.","AUU","Metals & Mining"
"Auracle Resources Ltd.","AAL",""
"Auramex Resource Corp.","AUX","Metals & Mining"
"Aurania Resources Ltd.","AOZ","Metals & Mining"
"Aurcana Corporation","AUN","Metals & Mining"
"AurCrest Gold Inc.","AGO","Metals & Mining"
"Aurgent Resource Corp.","AUR","Metals & Mining"
"Auriga Gold Corp.","AIA","Metals & Mining"
"Aurinia Pharmaceuticals Inc.","AUP","Biotechnology"
"Aurion Resources Ltd.","AU",""
"Aurora Spine Corporation","ASG",""
"Aurvista Gold Corporation","AVA",""
"Auryn Resources Inc.","AUG","Metals & Mining"
"AusTex Oil Limited","ATO","Oil & Gas - E&P"
"Avagenesis Corp.","VVA","Biotechnology"
"Avala Resources Ltd.","AVZ","Metals & Mining"
"Avante Logixx Inc.","XX","Consulting & Outsourcing"
"Avanti Energy Inc.","AVN","Oil & Gas - E&P"
"Avanti Mining Inc.","AVT",""
"Avarone Metals Inc.","AVM","Metals & Mining"
"Aveda Transportation and Energy Services Inc.","AVE",""
"Avidus Management Group Inc.","AVD","Biotechnology"
"Avino Silver & Gold Mines Ltd.","ASM","Metals & Mining"
"Avivagen Inc.","VIV","Drug Manufacturers"
"Avrupa Minerals Ltd.","AVU","Metals & Mining"
"AXE Exploration Inc.","AXQ","Metals & Mining"
"AXMIN Inc.","AXM","Metals & Mining"
"Azabache Energy Inc.","AZA","Oil & Gas - E&P"
"Azimut Exploration Inc.","AZM","Metals & Mining"
"Azincourt Uranium Inc.","AAZ","Metals & Mining"
"Azul Ventures Inc.","AZL","Metals & Mining"
"Azure Resources Corporation","AZU","Oil & Gas - E&P"
"Aphria Inc.","APH","Drug Manufacturers"

