"Year","Recipient","Rationale[2]"
"1994","F. Albert Cotton, Texas A&M University","For his work leading to our current understanding of multiple bonds of metal-metal bonding of transition metal chemistry and for his major impact in the field of inorganic and structural chemistry by virtue of his own work and the numerous individuals who worked in his laboratory as students or postdoctoral fellows."
"1995","Jeremy R. Knowles, Harvard University","For his important contributions to mechanistic enzymology."
"1995","Robert H. Abeles, Brandeis University","For his contributions to our understanding of the mechanisms of catalysis by enzymes and to the rational development of compounds that inactivate enzymes."
"1996","Koji Nakanishi, Columbia University","For his major contribution to our greater understanding of and our capacity to use many of the bioactive compounds found in nature."
"1997","Ahmed Zewail, California Institute of Technology","For his leadership and pioneering contribution to all phases of femtosecond chemistry."
"1998","Pierre Chambon, College de France","For his achievements in the field of nuclear receptors which have paved the way to a molecular understanding of vertebrate fundamental processes as well as their pathological disorders."
"1999","Richard Zare, Stanford University","For his seminal contributions in the area of chemical reaction dynamics and in the general field of molecular spectroscopy."
"2000","A. Ian Scott, Texas A&M University","For his great contributions to organic chemistry and biochemistry, especially the elegant use of every physical and biological tool available to solve complex structural and mechanistic problems in natural product chemistry and biosynthesis, e.g., vitamin B12. He has provided concepts and methodologies which have been fruitful to many others."
"2000","Sir Alan R. Battersby, Cambridge University","For his work which is well described as the biosynthesis of the pigments of life. It represents one of the major and most significant enterprises in contemporary chemistry and has transformed knowledge of the biosynthesis of such vital substances as vitamin B12."
"2001","Roger D. Kornberg, Stanford University","For his seminal contributions in biological and structural chemistry: (1) the discovery, basic structure and function of nucleosome; (2) the discovery of the multiprotein Mediator of transcriptional regulation; and (3) the structures of the giant RNA polymerase II transcription initiation and elongation complexes."
"2002","Harden M. McConnell, Stanford University","For his thorough understanding of magnetic resonance and its use in achieving greater insight into chemical systems including reaction dynamics, magnetic resonance imaging and membrane phenomenon."
"2003","Ronald Breslow, Columbia University","For his pioneering contributions to the field of biomimetic chemistry and catalysis by design."
"2004","Allen J. Bard, The University of Texas at Austin","For his major accomplishments in the field of electrochemistry and the effect of these on the discipline of chemistry itself."
"2005","George M. Whitesides, Harvard University","For the breadth and depth of his insight into chemical processes and his astute use of this understanding in approaching and solving many difficult problems in organic chemistry, biochemistry, biology, material science and surface science."
"2006","Daniel E. Koshland, Jr., University of California, Berkeley","For his consistent and highly effective use of basic chemical principles to bring to greater clarity chemical processes in complex biological systems."
"2007","William H. Miller, University of California, Berkeley","For pioneering development of the modern theory of chemical reaction dynamics and rates."
"2007","Noel S. Hush, University of Sydney","For fundamental work on the theory of homogeneous and heterogeneous electron transfer and contributions in the area of molecular electronics."
"2008","Alexander Rich, Massachusetts Institute of Technology","For outstanding contributions to the understanding of the chemical and biochemical mechanisms in maintaining a living cell."
"2009","Harry B. Gray, California Institute of Technology","For definitive contributions to the field of inorganic chemistry."
"2010","JoAnne Stubbe, Massachusetts Institute of Technology; Christopher T. Walsh, Harvard Medical School","For their insights into the chemistry of enzymes in biological systems."
"2011","John S. Waugh, Massachusetts Institute of Technology","For ground-breaking research in the field of nuclear magnetic resonance spectroscopy."
"2012","David A. Evans, Harvard University","For his contributions to organic reaction design, in particular stereocontrol in carbon-carbon bond formation, which advanced the field of complex molecule synthesis."
"2013","Louis E. Brus, Columbia University","For creating the field of colloidal quantum dots (semiconductor nanocrystals)."
"2014","Robert G. Bergman, University of California, Berkeley","For pioneering work in alkane activation and mechanisms of organometallic reactions."
"2015","Stephen C. Harrison, Harvard Medical School","For outstanding contributions to the x-ray crystallography of viruses and protein nucleic aid complexes."

