"A.","Journal","ISSN","Status","Notes"
"â\u008A\u008A","Combinatorics, Probability and Computing","0963-5483 (print) 1469-2163 (web)","Ongoing",""
"","Communications in Computational Physics","1815-2406 (print) 1991-7120 (web)","Ongoing",""
"","Comparative Exercise Physiology","1755-2540 (print) 1755-2559 (web)","Ongoing","Formerly Equine and Comparative Exercise Physiology, v. 1â\u0080\u00934 (2004â\u0080\u00937) From Issue 1 of Volume 8, the journal is published by Wageningen Academic Publishers"
"","Comparative Studies in Society and History","0010-4175 (print) 1475-2999 (web)","Ongoing",""
"","Compositio Mathematica","0010-437X (print) 1570-5846 (web)","Ongoing",""
"â\u008A\u008A","Contemporary European History","0960-7773 (print) 1469-2171 (web)","Ongoing",""
"â\u008A\u008A","Continuity and Change","0268-4160 (print) 1469-218X (web)","Ongoing",""
"","CORD Conference Proceedings","2049-1255","Ongoing",""
"","Dance Research Journal","0149-7677 (print) 1940-509X (web)","Ongoing","Formerly CORD News, v. 1â\u0080\u00936 (1969â\u0080\u009374)"
"","Design Science","2053-4701","Ongoing",""
"â\u008A\u008A","Development and Psychopathology","0954-5794 (print) 1469-2198 (web)","Ongoing",""
"","Dialogue IO","7777-7777 (print) 1111-1111 (web)","Ceased (2002)",""
"","Dialogue: Canadian Philosophical Review Revue canadienne de philosophie","0012-2173 (print) 1759-0949 (web)","Ongoing",""
"","Diamond Light Source Proceedings","2044-8201","Ongoing",""
"â\u008A\u008A","Disaster Medicine and Public Health Preparedness","1935-7893 (print) 1938-744X (web)","Ongoing",""
"","Du Bois Review: Social Science Research on Race","1742-058X (print) 1742-0598 (web)","Ongoing",""
"â\u008A\u008A","Early China","0362-5028 (print) 2325-2324 (web)","Ongoing",""
"â\u008A\u008A","Early Music History","0261-1279 (print) 1474-0559 (web)","Ongoing",""
"â\u008A\u008A","Earth and Environmental Science Transactions of the Royal Society of Edinburgh","1755-6910 (print) 1755-6929 (web)","Ongoing","Formerly Transactions of the Royal Society of Edinburgh, v. 1â\u0080\u009370 (1788â\u0080\u00931979) Transactions of the Royal Society of Edinburgh: Earth Sciences, v. 71â\u0080\u009397 (1980â\u0080\u00932006)"
"","East Asian Journal on Applied Mathematics","2079-7362 (print) 2079-7370 (web)","Ongoing",""
"","Ecclesiastical Law Journal","0956-618X (print) 1751-8539 (web)","Ongoing",""
"â\u008A\u008A","Econometric Theory","0266-4666 (print) 1469-4360 (web)","Ongoing",""
"â\u008A\u008A","Economics and Philosophy","0266-2671 (print) 1474-0028 (web)","Ongoing",""
"â\u008A\u008A","Edinburgh Journal of Botany","0960-4286 (print) 1474-0036 (web)","Ongoing",""
"","Edinburgh Mathematical Notes","0950-1843 (print) 0950-1843 (web)","Ceased (1961)",""
"â\u008A\u008A","Eighteenth-Century Music","1478-5706 (print) 1478-5714 (web)","Ongoing",""
"â\u008A\u008A","English Language and Linguistics","1360-6743 (print) 1469-4379 (web)","Ongoing",""
"â\u008A\u008A","English Profile Journal","2041-5362","Ongoing",""
"â\u008A\u008A","English Today","0266-0784 (print) 1474-0567 (web)","Ongoing",""
"","Enterprise & Society","1467-2227 (print) 1467-2235 (web)","Ongoing",""
"â\u008A\u008A","Environment and Development Economics","1355-770X (print) 1469-4395 (web)","Ongoing",""
"â\u008A\u008A","Environmental Biosafety Research","1635-7922 (print) 1635-7930 (web)","Ceased (2011)",""
"â\u008A\u008A","Environmental Conservation","0376-8929 (print) 1469-4387 (web)","Ongoing",""
"","Environmental Practice","1466-0466 (print) 1466-0474 (web)","Ongoing",""
"â\u008A\u008A","Epidemiologia e psichiatria sociale. Monograph Supplement","1827-4331","Ceased (2004)",""
"â\u008A\u008A","Epidemiology & Infection","0950-2688 (print) 1469-4409 (web)","Ongoing","Formerly Journal of Hygiene, v. 1â\u0080\u009397 (1901â\u0080\u00931986)"
"â\u008A\u008A","Epidemiology and Psychiatric Sciences","2045-7960 (print) 2045-7979 (web)","Ongoing","Formerly Epidemiologia e Psichiatria Sociale, v. 1â\u0080\u009319 (1992â\u0080\u00932010)"
"â\u008A\u008A","Episteme","1742-3600 (print) 1750-0117 (web)","Ongoing",""
"","Equine and Comparative Exercise Physiology","1478-0615 (print) 1479-070X (web)","Ceased (2007)","Replaced by Comparative Exercise Physiology"
"â\u008A\u008A","Ergodic Theory and Dynamical Systems","0143-3857 (print) 1469-4417 (web)","Ongoing",""
"","ESAIM: Control, Optimisation and Calculus of Variations","1292-8119 (print) 1262-3377 (web)","Ongoing",""
"","ESAIM: Mathematical Modelling and Numerical Analysis","0764-583X (print) 1290-3841 (web)","Ongoing",""
"","ESAIM: Probability and Statistics","1292-8100 (print) 1262-3318 (web)","Ongoing",""
"â\u008A\u008A","Ethics & International Affairs","0892-6794 (print) 1747-7093 (web)","Ongoing",""
"","European Astronomical Society Publications Series","1633-4760 (print) 1638-1963 (web)","Ongoing",""
"","European Business Organization Law Review (EBOR)","1566-7529 (print) 1741-6205 (web)","Ongoing","From 2015 EBOR is published by Springer Publishing"
"","European Constitutional Law Review (EuConst)","1574-0196 (print) 1744-5515 (web)","Ongoing",""
"â\u008A\u008A","European Journal of Applied Mathematics","0956-7925 (print) 1469-4425 (web)","Ongoing",""
"","European Journal of International Security","2057-5637 (print) 2057-5645 (web)","Ongoing",""
"â\u008A\u008A","European Journal of Sociology Archives EuropÃ©ennes de Sociologie","0003-9756 (print) 1474-0583 (web)","Ongoing",""
"â\u008A\u008A","The European Physical Journal - Applied Physics","1286-0042 (print) 1286-0050 (web)","Ongoing",""
"â\u008A\u008A","European Political Science Review","1755-7739 (print) 1755-7747 (web)","Ongoing",""
"â\u008A\u008A","European Review","1062-7987 (print) 1474-0575 (web)","Ongoing",""
"â\u008A\u008A","Experimental Agriculture","0014-4797 (print) 1469-4441 (web)","Ongoing",""
"â\u008A\u008A","Expert Reviews in Molecular Medicine","1462-3994","Ongoing",""
"â\u008A\u008A","Fetal and Maternal Medicine Review","0965-5395 (print) 1469-5065 (web)","Ongoing",""
"â\u008A\u008A","Financial History Review","0968-5650 (print) 1474-0052 (web)","Ongoing",""
"â\u008A\u008A","Foreign Policy Bulletin","1052-7036 (print) 1745-1302 (web)","Ceased (2012)",""
"","Forum of Mathematics, Pi","2050-5086 (print) 2050-5086 (web)","Ongoing",""
"","Forum of Mathematics, Sigma","2050-5094 (print) 2050-5094 (web)","Ongoing",""
"","Fruits","0248-1294 (print) 1625-967X (web)","Ongoing",""
"â\u008A\u008A","Genetics Research","0016-6723 (print) 1469-5073 (web)","Ongoing","Formerly Genetical Research, v. 1â\u0080\u009389 (1960â\u0080\u00932007)"
"â\u008A\u008A","Geological Magazine","0016-7568 (print) 1469-5081 (web)","Ongoing","Formerly The Geologist, (1858â\u0080\u009364)"
"","The Geologist","1359-4656","Ceased (1864)","Replaced by Geological Magazine"
"","Glasgow Mathematical Journal","0017-0895 (print) 1469-509X (web)","Ongoing","Formerly Proceedings of the Glasgow Mathematical Association, v. 1â\u0080\u00937 (1952â\u0080\u009366)"
"â\u008A\u008A","Global Constitutionalism","2045-3817 (print) 2045-3825 (web)","Ongoing",""
"","Global Health, Epidemiology and Genomics","2054-4200","Ongoing",""
"","Global Mental Health","2054-4251 (print) 2054-4251 (web)","Ongoing",""
"","Government and Opposition","0017-257X (print) 1477-7053 (web)","Ongoing",""
"","Greece & Rome","0017-3835 (print) 1477-4550 (web)","Ongoing",""
"","Hague Journal on the Rule of Law","1876-4045 (print) 1876-4053 (web)","Ongoing","From 2015 the journal is published by Springer Publishing"
"","Harvard Theological Review","0017-8160 (print) 1475-4517 (web)","Ongoing",""
"â\u008A\u008A","Health Economics, Policy and Law","1744-1331 (print) 1744-134X (web)","Ongoing",""
"","Hegel Bulletin","2051-5367 (print) 2051-5375 (web)","Ongoing","Formerly Bulletin of the Hegel Society of Great Britain, v. 1â\u0080\u009333 (1980â\u0080\u00932012)"
"","High Power Laser Science and Engineering","2095-4719 (print) 2052-3289 (web)","Ongoing",""
"","Highlights of Astronomy","1539-2996","Ceased (1998)",""
"â\u008A\u008A","The Historical Journal","0018-246X (print) 1469-5103 (web)","Ongoing","Formerly Cambridge Historical Journal, v. 1â\u0080\u009313 (1923â\u0080\u009357)"
"â\u008A\u008A","History in Africa","0361-5413 (print) 1558-2744 (web)","Ongoing",""
"","Horizons: The Journal of the College Theology Society","0360-9669 (print) 2050-8557 (web)","Ongoing",""
"â\u008A\u008A","Industrial and Organizational Psychology","1754-9426 (print) 1754-9434 (web)","Ongoing",""
"â\u008A\u008A","Infection Control & Hospital Epidemiology","0899-823X (print) 1559-6834 (web)","Ongoing","Formerly Infection Control, v. 1â\u0080\u00938 (1980â\u0080\u00937)"
"","International & Comparative Law Quarterly","0020-5893 (print) 1471-6895 (web)","Ongoing",""
"","International Astronomical Union Colloquium","0252-9211","Ceased (2005)",""
"â\u008A\u008A","The International Journal of Asian Studies","1479-5914 (print) 1479-5922 (web)","Ongoing",""
"â\u008A\u008A","International Journal of Astrobiology","1473-5504 (print) 1475-3006 (web)","Ongoing",""
"","International Journal of Cultural Property","0940-7391 (print) 1465-7317 (web)","Ongoing",""
"","International Journal of Disability Management","1834-4887","Ongoing",""
"â\u008A\u008A","International Journal of Law in Context","1744-5523 (print) 1744-5531 (web)","Ongoing",""
"","International Journal of Metrology and Quality Engineering","2107-6839 (print) 2107-6847 (web)","Ongoing",""
"â\u008A\u008A","International Journal of Microwave and Wireless Technologies","1759-0787 (print) 1759-0795 (web)","Ongoing",""
"â\u008A\u008A","International Journal of Middle East Studies","0020-7438 (print) 1471-6380 (web)","Ongoing",""
"â\u008A\u008A","The International Journal of Neuropsychopharmacology","1469-5111","Ongoing",""
"â\u008A\u008A","International Journal of Technology Assessment in Health Care","0266-4623 (print) 1471-6348 (web)","Ongoing",""
"â\u008A\u008A","International Journal of Tropical Insect Science","1742-7584 (print) 1742-7592 (web)","Ongoing","Formerly Insect Science and Its Application, v. 1â\u0080\u009323 (1980â\u0080\u00932003)"
"","International Labor and Working-Class History","0147-5479 (print) 1471-6445 (web)","Ongoing","Formerly Newsletter European Labor and Working Class History, v. 1â\u0080\u00938 (1972â\u0080\u00935)"
"","International Organization","0020-8183 (print) 1531-5088 (web)","Ongoing",""
"â\u008A\u008A","International Psychogeriatrics","1041-6102 (print) 1741-203X (web)","Ongoing",""
"","International Review for Social History","0020-8590 (print) 1469-512X (web)","Ongoing","Formerly International Review for Social History, (1936â\u0080\u00939) Bulletin of the International Institute of Social History, (1937â\u0080\u009355)"
"","International Review of Poultry Science","1877-9654 (print) 1877-9654 (web)","Ceased (1940)","Replaced by World's Poultry Science Journal"
"â\u008A\u008A","International Review of the Red Cross","1816-3831 (print) 1607-5889 (web)","Ongoing","This is the successor to several previous journals published under several different names and languages.[3]"
"","International Review of the Red Cross (1961 - 1997)","0020-8604 (print) 0020-8604 (web)","Ongoing","One of several precursors to what is now published as the International Review of the Red Cross.[3]"
"","International Review of Social History","0020-8590 (print) 1469-512X (web)","Ongoing","Formerly Bulletin of the International Review of Social History, v. 1â\u0080\u009310 (1937â\u0080\u009355)"
"â\u008A\u008A","International Theory","1752-9719 (print) 1752-9727 (web)","Ongoing",""
"","Iraq","0021-0889 (print) 2053-4744 (web)","Ongoing",""
"â\u008A\u008A","Irish Historical Studies","0021-1214 (print) 2056-4139 (web)","Ongoing",""
"â\u008A\u008A","Irish Journal of Psychological Medicine","0790-9667 (print) 2051-6967 (web)","Ongoing",""
"â\u008A\u008A","Israel Law Review","0021-2237 (print) 2047-9336 (web)","Ongoing",""
"â\u008A\u008A","Italian Political Science Review Rivista Italiana di Scienza Politica","0048-8402 (print) 2057-4908 (web)","Ongoing",""
"â\u008A\u008A","Itinerario","0165-1153 (print) 2041-2827 (web)","Ongoing",""
"â\u008A\u008A","Japanese Journal of Political Science","1468-1099 (print) 1474-0060 (web)","Ongoing",""
"â\u008A\u008A","The Journal of African History","0021-8537 (print) 1469-5138 (web)","Ongoing",""
"â\u008A\u008A","Journal of African Law","0021-8553 (print) 1464-3731 (web)","Ongoing",""
"","Journal of Agricultural and Applied Economics","1074-0708 (print) 2056-7405 (web)","Ongoing","Formerly Southern Journal of Agricultural Economics, v. 1â\u0080\u009324 (1969â\u0080\u009392)"
"â\u008A\u008A","The Journal of Agricultural Science","0021-8596 (print) 1469-5146 (web)","Ongoing",""
"â\u008A\u008A","Journal of the American Philosophical Association","2053-4477 (print) 2053-4485 (web)","Ongoing",""
"â\u008A\u008A","Journal of American Studies","0021-8758 (print) 1469-5154 (web)","Ongoing","Formerly Bulletin of the British Association for American Studies, v. 1â\u0080\u00939 (1956â\u0080\u00939) Bulletin of the British Association for American Studies, New Series, v. 1â\u0080\u009312\/13 (1960â\u0080\u00936)"
"â\u008A\u008A","Journal of Anglican Studies","1740-3553 (print) 1745-5278 (web)","Ongoing",""
"â\u008A\u008A","Journal of Applied Animal Nutrition","2049-257X","Ongoing",""
"","The Journal of Asian Studies","0021-9118 (print) 1752-0401 (web)","Ongoing","Formerly Far Eastern Quarterly, v. 1â\u0080\u009315 (1941â\u0080\u009356)"
"","Journal of the Australian Mathematical Society","1446-7887 (print) 1446-8107 (web)","Ongoing","Formerly Journal of the Australian Mathematical Society. Series A. Pure Mathematics, v. 19â\u0080\u009328 (1975â\u0080\u00939) Journal of the Australian Mathematical Society. Series A. Pure Mathematics and Statistics, v. 29â\u0080\u009369 (1980â\u0080\u00932000)"
"â\u008A\u008A","Journal of Benefit-Cost Analysis","2194-5888 (print) 2152-2812 (web)","Ongoing",""
"â\u008A\u008A","Journal of Biosocial Science","1469-7599","Ongoing",""
"","Journal of British Studies","0021-9371 (print) 1545-6986 (web)","Ongoing",""
"â\u008A\u008A","Journal of Child Language","0305-0009 (print) 1469-7602 (web)","Ongoing",""
"","Journal of Chinese History ä¸­å\u009C\u008Bæ­·å\u008F²å­¸å\u0088\u008A","2059-1640","Ongoing",""
"","The Journal of Classics Teaching","2058-6310","Ongoing",""
"","Journal of Dairy Research","0022-0299 (print) 1469-7629 (web)","Ongoing",""
