"Language","Endonym[28]","Family","Speakers (% of total)","Speaks English <\"Very Well\"[29]",""
"Clallam","NÉ\u0099xÊ·sÆ\u009BÌ\u0095ayÌ\u0095É\u0099mÃºcÉ\u0099n","Salishan","146 (0.04)","1.37%"
"Penobscot (E Abenaki)","Panawahpskek","Algic","144 (0.04)","5.56%"
"Yavapai","â\u0080\u0094","Yuman","139 (0.04)","â\u0080\u0094"
"Cahuilla","Ivia","Uto-Aztecan","139 (0.04)","â\u0080\u0094"
"Ponca","Paâ\u0081¿ka","Siouan","131 (0.04)","6.87%"
"Quinault","KÊ·Ã­nayÅ\u0082","Salishan","128 (0.03)","â\u0080\u0094"
"Deg Xinag (Ingalit)","Degexitâ\u0080\u0099an","Na-DenÃ©","127 (0.03)","â\u0080\u0094"
"Pawnee","PaÃ¡ri","Caddoan","122 (0.03)","16.39%"
"Haida","XÌ±aat KÃ­l","Isolate","118 (0.03)","19.49%"
"Cowlitz","Stl'pulimuhkl","Salishan","110 (0.03)","82.73%"
"Mandan","NÅ³Ì\u0081Ê\u0094etaË\u0090re","Siouan","104 (0.03)","38.46%"
"Arikara","SÃ¡hniÅ¡","Caddoan","103 (0.03)","â\u0080\u0094"
"Klamath","Maqlaqs","Plateau Penutian","95 (0.03)","27.37%"
"Havasupai","Havasuâ\u0080\u0099baaja","Yuman","90 (0.02)","52.22%"
"Chitimacha","Sitimaxa","Isolate","89 (0.02)","21.35%"
"Abenaki (W Abenaki)","WÃ´banakiÃ´dwawÃ´gan","Algic","86 (0.02)","â\u0080\u0094"
"Kwak'wala (Kwakiutl)","Kwak'wala","Wakashan","85 (0.02)","24.71%"
"Tututni (Rogue River)","DotodÉ\u0099ni","Na-DenÃ©","84 (0.02)","â\u0080\u0094"
"Iroquois","â\u0080\u0094","Iroquoian","76 (0.02)","â\u0080\u0094"
"Michif (French Cree)","Michif","Creole","75 (0.02)","70.67%"
"Tsimshian","Sm'algyax","Tsimshianic","68 (0.02)","â\u0080\u0094"
"Achumawi","â\u0080\u0094","Palaihnihan","68 (0.02)","â\u0080\u0094"
"Chiwere","JÃ­were","Siouan","60 (0.02)","â\u0080\u0094"
"Koasati","KowassÃ¡:ti","Muskogean","59 (0.02)","6.78%"
"Koyukon","DenaakkÊ¼e","Na-DenÃ©","58 (0.02)","12.07%"
"Upper Chinook","Kiksht","Chinookan","58 (0.02)","10.34%"
"Caddo","HasÃ­:nay","Caddoan","51 (0.01)","23.53%"
"Kalapuya (Santiam)","â\u0080\u0094","Kalapuyan","50 (0.01)","â\u0080\u0094"
"Gros Ventre (Atsina)","Ahahnelin","Algic","45 (0.01)","â\u0080\u0094"
"Tachi","â\u0080\u0094","Yokutsan","45 (0.01)","57.78%"
"Maricopa","Piipaash chuukwer","Yuman","44 (0.01)","22.73%"
"Chumash","S.hamala","Chumashan","39 (0.01)","100.00%"
"Nomlaki","NomlÄ\u0081qa","Wintuan","38 (0.01)","â\u0080\u0094"
"Konkow (NW Maidu)","Koyoom k'awi","Maiduan","32","100.00%"
"Tonkawa","Tickanwaâ\u0080¢tic","Isolate","29","â\u0080\u0094"
"Wintu","WintÊ°u:h","Wintuan","24","â\u0080\u0094"
"Spokane","NpoqÃ­niÅ¡cn","Salishan","20","40.00%"
"Ahtna","Atnakenaegeâ\u0080\u0099","Na-DenÃ©","18","â\u0080\u0094"
"Columbia (Sinkiuse)","Nxaáº£mxcÃ­n","Salishan","17","â\u0080\u0094"
"Atsugewi","AtsugÃ©","Palaihnihan","15","â\u0080\u0094"
"Chemehuevi","NÃ¼wÃ¼vi","Uto-Aztecan","15","â\u0080\u0094"
"Northern Paiute","Numu","Uto-Aztecan","12","â\u0080\u0094"
"Dena'ina (Tanaina)","Denaâ\u0080\u0099ina qenaga","Na-DenÃ©","11","â\u0080\u0094"
"CupeÃ±o","Kupangaxwicham","Uto-Aztecan","11","â\u0080\u0094"
"Nuu-chah-nulth (Nootka)","NuuÄ\u008DaanÌ\u0093uÅ\u0082","Wakashan","10","â\u0080\u0094"
"Alutiiq (Gulf Yupik)","Sugpiaq","Eskimo-Aleut","8","â\u0080\u0094"
"Kansa","KÃ¡â\u0081¿za","Siouan","7","â\u0080\u0094"
"Siuslaw","Å Ã¡ayuÅ¡Å\u0082a","Isolate","6","â\u0080\u0094"
"Cayuga","GayogoÌ±hÃ³:nÇ«â\u0080\u0099","Iroquoian","6","â\u0080\u0094"
"Serrano","Taaqtam","Uto-Aztecan","5","â\u0080\u0094"
"Yuchi","Tsoyaha","Isolate","4","â\u0080\u0094"

