"Saint","Date of birth","Date of death","Date of canonization","Tradition"
"Saint","Date of birth","Date of death","Date of canonization","Anglican","Oriental Orthodox","Eastern Orthodox","Roman Catholic","total"
"Saint Cleopatra","","327","","","Yes","","","1"
"Clodoald","","c. 560","","","","","Yes","1"
"Clotilde","","545","","","","","Yes","1"
"Colette","","1447","","","","","Yes","1"
"Columba","","597","","Yes","Yes","Yes","Yes","4"
"Columbanus","","615","","","","Yes","Yes","2"
"Comgall","","597 or 602","","Yes","","","Yes","2"
"Congar","","520","","Yes","","","Yes","2"
"Conrad of Parzham","","1894","","","","","Yes","1"
"Conrad of Piacenza","","1351","","","","","Yes","1"
"Constantine of Murom","","1129","","","","Yes","","1"
"Pope Cosmas","","730","","","Yes","","","1"
"Pope Cosmas II","","858","","","Yes","","","1"
"Pope Cosmas III","","933","","","Yes","","","1"
"Cosmas of Maiuma","","8th century","","","Yes","Yes","","2"
"CristÃ³bal Magallanes Jara","1869","1927","","","","","Yes","1"
"Cunigunde of Luxemburg","","1033","","","","","Yes","1"
"Cuthbert of Lindisfarne","","687","","Yes","","Yes","Yes","3"
"Cuthbert Mayne","","1577","","","","","Yes","1"
"Cynllo","","6th century","","Yes","","","Yes","2"
"Cyriacus the Anchorite","","557","","","","Yes","","1"
"Cyrus the Coptic","","304","","","Yes","","","1"
"Cyril, teacher of the Slavs","","869","","Yes","","Yes","Yes","3"
"Pope Cyril I the Pillar of Faith","","444","","","Yes","","","1"
"Pope Cyril II","","1092","","","Yes","","","1"
"Pope Cyril III","","1243","","","Yes","","","1"
"Pope Cyril IV","","1861","","","Yes","","","1"
"Pope Cyril V","","1927","","","Yes","","","1"
"Pope Cyril VI the Great","8 Aug 1902","9 Mar 1971","","","Yes","","","1"
"King Dagobert II","","679","","","","","Yes","1"
"Damian of Alexandria","","4th century","","","Yes","","","1"
"Damien of Molokai","","18 Apr 1889","","","","","Yes","1"
"Saint Dasya","","3rd century","","","Yes","","","1"
"Saint Daydara","","4th century","","","Yes","","","1"
"Daniel Comboni","","1881","","","","","Yes","1"
"Danilo II","","14th century","","","","Yes","","1"
"David (Dewi) of Wales","","c. 589","","Yes","","Yes","Yes","3"
"David Lewis","","1679","","","","","Yes","1"
"Declan","","5th century","","","","Yes","Yes","2"
"Pope Demetrius","","232","","","Yes","","","1"
"Saint Demiana the Great","","302","","","Yes","","","1"
"Desiderius of Fontenelle","","c. 700","","","","","Yes","1"
"Desiderius of Vienne","","607","","","","","Yes","1"
"Deusdedit of Canterbury","","664","","Yes","","","Yes","2"
"Didier (Desiderius) of Cahors","","655","","","","","Yes","1"
"Didymus the Blind","","398","","","Yes","Yes","","2"
"Dietrich Bonhoeffer","","1945","","Yes","","","","1"
"Dimitry of Rostov","1651","1709","","","","Yes","","1"
"Pope Dioscorus","","454","","","Yes","","","1"
"Dionysius of Alexandria","","250","","","Yes","","","1"
"Saint Doherty[citation needed]","","579","","","","Yes","Yes","2"
"Dominic de Guzman","","1221","","Yes","","","Yes","2"
"Dominic de la Calzada","","1109","","","","","Yes","1"
"Dominic Loricatus","","1060","","","","","Yes","1"
"Dominic Savio","","1857","","","","","Yes","1"
"Dorothea of Alexandria","","320","","","Yes","","","1"
"Dorotheus of Gaza","","6th-7th century","","","","Yes","Yes","2"
"Douai Martyrs","","c. 1568-1668","","","","","Yes","1"
"Drogo of Sebourg","","1105","","","","","Yes","1"
"Dunstan","","988","","Yes","","Yes","Yes","3"
"Dymphna","","7th century","","","","Yes","Yes","2"
"EanflÃ¦d","","704","","","","","Yes","1"
"Eanswythe of Kent","","640","","Yes","","Yes","Yes","3"
"Edburga of Bicester","","7th century","","","","Yes","Yes","2"
"Edburga of Minster-in-Thanet","","8th century","","","","","Yes","1"
"Edith Stein","1891","1942","","","","","Yes","1"
"Editha","961","15 Sep 984","","Yes","","","Yes","2"
"Edmund Arrowsmith","","1628","","","","","Yes","1"
"Edmund Campion","","1581","","","","","Yes","1"
"Edmund of East Anglia","","869","","Yes","","Yes","Yes","3"
"Edward the Confessor","","1066","","Yes","","Yes","Yes","3"
"Edward the Martyr","","978 or 979","","Yes","","Yes","Yes","3"
"Edwin of Northumbria","","633","","Yes","","Yes","Yes","3"
"Egbert of Northumbria","","729","","Yes","","Yes","Yes","3"
"Eligius","","659 or 660","","","","Yes","Yes","2"
"Elisabeth of Hungary","","1231","","Yes","","","Yes","2"
"Elizabeth of Portugal","","1336","","","","","Yes","1"
"Elizabeth of Russia","1864","1918","","","","Yes","","1"
"Elizabeth Ann Seton","","1821","","","","","Yes","1"
"Emeric of Hungary","","1031","","","","","Yes","1"
"Emma of Lesum","","1308","","","","","Yes","1"
"Emma of Ludger","","1050","","","","Yes","Yes","2"
"Emmeram of Regensburg","","652","","","","","Yes","1"
"Emmelia","","375","","","","Yes","","1"
"Enda of Aran","","530","","","","","Yes","1"
"Engelbert of Cologne","","1225","","","","","Yes","1"
"Erbin","","5th century","","","","","Yes","1"
"Erentrude","","710","","","","","Yes","1"
"Ermengol","","1035","","","","","Yes","1"
"Ermenilda of Ely","","700 or 703","","","","","Yes","1"
"Ã\u0086thelberht of Kent","","616","","","","Yes","Yes","2"
"Etheldreda of Ely","","679","","Yes","","Yes","Yes","3"
"Pope Eugene I","","657","","","Yes","Yes","Yes","3"
"Eugene de Mazenod","","1861","","","","","Yes","1"
"Eulogius of Alexandria","","608","","","Yes","Yes","Yes","3"
"Eulogius of CÃ³rdoba","","859","","","","","Yes","1"
"Pope Eumenes","","141","","","Yes","","","1"
"Euphemia","","303","","","","","","0"
"Euphrosyne of Alexandria","","5th century","","","Yes","","","1"
"Euphrosyne of Polatsk","","1173","","","","Yes","Yes","2"
"Eustochia Smeralda Calafato","","1485","","","","","Yes","1"
"Euthymius the Great","","473","","","","Yes","Yes","2"
"Eysteinn Erlendsson","","1188","","","","","Yes","1"
"Fachanan","","c. 600","","","","","Yes","1"
"Faro","","675","","","","","Yes","1"
"Faustina","25 Aug 1905","5 Oct 1938","30 Apr 2000","","","","Yes","1"
"Saint Faustus","","250","","","Yes","","","1"
"Feichin","","c. 660","","Yes","","","Yes","2"
"Saint Felix","","286","","","Yes","","","1"
"Pope Felix III","","492","","","","Yes","Yes","2"
"Pope Felix IV","","530","","","","Yes","Yes","2"
"Ferdinand III of Castile","","1252","","","","","Yes","1"
"FerrÃ©ol of UzÃ¨s","","581","","","","Yes","Yes","2"
"Fiacre","","670?","","","","","Yes","1"
"Fidelis of Sigmarengen","","1622","","","","","Yes","1"
"Filan","","Unknown","","Yes","","","Yes","2"
"Finbarr","","620","","Yes","","","Yes","2"
"Florentina","","c. 612","","","","","Yes","1"
"Franca Visalta","","1218","","","","","Yes","1"
"Francesca","","","","","","","","0"
"Frances Cabrini","1850","1917","","","","","Yes","1"
"Frances of Rome","","1440","","","","","Yes","1"
"Francis of Assisi","","1226","","Yes","","","Yes","2"
"Francis Caracciolo","","1608","","","","","Yes","1"
"Francis of Paola","","1507","","","","","Yes","1"
"Francis de Sales","","1622","","Yes","","","Yes","2"
"Francis Xavier","","1552","","Yes4","","","Yes","2"
"Frei GalvÃ£o","1739","1822","","","","","Yes","1"
"Frideswide","","c. 735","","Yes","Yes","Yes","Yes","4"
"Fructuosus of Braga","","665","","","","","Yes","1"
"Fulgentius of Cartagena","","7th century","","","","","Yes","1"
"Pope Gabriel I","","921","","","Yes","","","1"
"Pope Gabriel II","","1145","","","Yes","","","1"
"Pope Gabriel III","","1270","","","Yes","","","1"
"Pope Gabriel IV","","1478","","","Yes","","","1"
"Pope Gabriel V","","1427","","","Yes","","","1"
"Pope Gabriel VI","","1475","","","Yes","","","1"
"Pope Gabriel VII","","1569","","","Yes","","","1"
"Pope Gabriel VIII","","1603","","","Yes","","","1"
"Gaetano Errico","","1860","","","","","Yes","1"
"Gabriel of Our Lady of Sorrows","","1862","","","","","Yes","1"
"Gal I, Bishop of Clermont","","c. 553","","","","","Yes","1"
"Gall","","c. 646","","","","Yes","Yes","2"
"Saint Gallicanus","","363","","","Yes","","","1"
"Gaspar del Bufalo","","1837","","","","","Yes","1"
"Gaudentius of Ossero","","1044","","","","Yes","Yes","2"
"Pope Gelasius I","","492","","","Yes","Yes","Yes","3"
"Pope Gelasius II","","c. 1058","29 Jan 1119","","","","Yes","1"
"Gelert","","7th century","","Yes","","","Yes","2"
"Gemma Galgani","1878","1903","","","","","Yes","1"
"Genesius of Clermont","","c. 662","","","","","Yes","1"
"Genevieve","","512","","","","Yes","Yes","2"
"Saint George the Great","","303","","Yes","Yes","","Yes","3"
"George Preca","12 Feb 1880","26 Jul 1962","3 Jun 2007","","","","Yes","1"
"St. George El Mozahem","","969","","","Yes","","","1"
"Gerasimus of Jordan","","5th century","","","","Yes","Yes","2"
"Gerard of Lunel","","1298","","","","","Yes","1"
"Saint Gereon","","304","","","Yes","","","1"
"Gerulfus","740","c. 740","","","","","Yes","1"
"Gianna Beretta Molla","4 Oct 1922","28 Apr 1962","16 May 2004","","","","Yes","1"
"Ghislain","","680","","","","","Yes","1"
"Saint Gilbert of Sempringham","","1083","","","","","Yes","1"
"Gilbert de Moravia","","1245","","","","","Yes","1"
"Gilbert of Meaux","","1015","","","","","Yes","1"
"Giovanni da Capistrano","","1456","","","","","Yes","1"
"Goar of Aquitaine","","6 Jul 649","","","","","Yes","1"
"Godric of Finchale","","1170","","","","","Yes","1"
"Gonsalo Garcia","","1597","","","","","Yes","1"
"Godehard (Gotthard) of Hildesheim","","1038","","","","Yes","Yes","2"
"Gratus of Aosta","","c. 470","","","","","Yes","1"
"Gregorio Barbarigo","","1697","","","","","Yes","1"
"Gregory Palamas","","1359","","","","Yes","Yes6","1.5"
"Gregory of Tours","","594","","","Yes","Yes","Yes","3"
"Pope Gregory I","","604","","Yes","","Yes","Yes","3"
"Pope Gregory II","669","11 Feb 731","","","","Yes","Yes","2"
"Pope Gregory III","","28 Nov 741","","","","Yes","Yes","2"
"Pope Gregory VII","c. 1020","25 May 1085","","","","","Yes","1"
"Grellan","","5th century","","","","","Yes","1"
"Gunther of Bohemia","","1045","","","","","Yes","1"
"Saint Guinefort","","13th century","","","","","","0"
"Hallvard VebjÃ¸rnsson","","1043","","","","","Yes","1"
"Hedwig of Andechs","","1243","","","","","Yes","1"
"Helena of Constantinople","","330","","Yes","","Yes","Yes","3"
"Helena of SkÃ¶vde","","1160(?)","","","","","Yes","1"
"Helier","","555","","Yes","","Yes","Yes","3"
"Henry II, Holy Roman Emperor","","1024","","","","","Yes","1"
"Herman of Valaam","","10th-15th century","","","","Yes","","1"
"Herman of Alaska","","1837","","","","Yes","","1"
"HervÃ©","","556","","","","","Yes","1"
"Pope Hilarius","","468","","","Yes","Yes","Yes","3"
"Hilda of Whitby","","680","","Yes","","Yes","Yes","3"
"Hildebrand","","1085","","","","","Yes","1"
"Hildegard of Bingen","","1179","","Yes","","","Yes","2"
"Pope Hormisdas","","523","","","Yes","Yes","Yes","3"
"Hubertus","","727","","","","Yes","Yes","2"
"Hugh of Lincoln","","1200","","Yes","","","Yes","2"
"Hyacinth","","1257","","","","","Yes","1"
"Hyacintha Mariscotti","","1640","","","","","Yes","1"
"Ioann of Russia","1886","1918","","","","Yes","","1"
"Illuminata[3]","","320","","","","","","0"
"Ignatius Loyola","","1556","","Yes4","","","Yes","2"
"Innocent of Alaska","","1879","","","","Yes","","1"
"Innocencio of Mary Immaculate","","1934","","","","","Yes","1"
"Ignatius of Laconi","","1781","","","","","Yes","1"
"Igor of Russia","1894","1918","","","","Yes","","1"
"Irene of Lesvos[citation needed]","","1463","","","","Yes","","1"
"Isaac Jogues","","1646","","","Yes","Yes","Yes","3"
"Isaac of Nineveh","","700","","","","Yes","","1"
"Isabel of France","","1270","","","","","Yes","1"
"Isfrid of Ratzeburg","","1204","","","","","Yes","1"
"Isidore of Seville","c. 560","4 Apr 636","1598","","","","Yes","1"
"Isidore the Laborer","","1130","","","","","Yes","1"
"Ã\u008Dte of Killeedy","","570","","","","Yes","Yes","2"
"Ivo of Kermartin","","1303","","","","","Yes","1"
"Jacobo Kyushei Tomonaga","","1633","","","","","Yes","1"
"Jadwiga of Poland","","1399","","","","","Yes","1"
"James of the Marches","","1476","","","","","Yes","1"
"Jean Vianney","","1859","","","","","Yes","1"
"Jean de Brebeuf","","1649","","","","","Yes","1"
"Joan of Arc","1412","1431","","","","","Yes","1"
"Joaquina Vedruna de Mas","","1854","","","","","Yes","1"
"Job of Pochayiv","","1651","","","","Yes","","1"
"Pope John I","","526","","","","Yes","Yes","2"
"Pope John XXIII","25 Nov 1881","3 Jun 1963","27 Apr 2014","","","","Yes","1"
"John Baptist de La Salle","","1719","","","","","Yes","1"
"John Bosco","","1888","","","","","Yes","1"
"John Cantius","","1473","","","","","Yes","1"
"John Climacus","","606","","","Yes","Yes","Yes","3"
"John of the Cross","","1591","","Yes","","","Yes","2"
"John of Damascus","","749","","Yes4","Yes","Yes","Yes","4"
"John Fisher","","1535","","","","","Yes","1"
"John Macias","","1645","","","","","Yes","1"
"John Maron","","707","","","","","Yes","1"
"John of Matha","","1213","","","","","Yes","1"
"John of Nepomuk","","1393","","","","","Yes","1"
"John Neumann","","1860","","","","","Yes","1"
"John Ogilvie","","1615","","","","","Yes","1"
"Pope John Paul II","18 May 1920","2 Apr 2005","27 Apr 2014","","","","Yes","1"
"John Rigby","","1600","","","","","Yes","1"
"John of Shanghai and San Francisco","4 Jun 1896","2 Jul 1966","","","","Yes","","1"
"John of Tobolsk","","1715","","","","Yes","","1"
"John Vianney","","1859","","","","","Yes","1"
"Josaphat Kuntsevych","","1623","","","","","Yes","1"
"JosemarÃ­a EscrivÃ¡","9 Jan 1902","26 Jun 1975","6 Oct 2002","","","","Yes","1"
"JÃ³zef Bilczewski","","1923","","","","","Yes","1"
"Joseph Freinademetz","15 Apr 1852","28 Jan 1908","5 Oct 2003","","","","Yes","1"
"Joseph of Cupertino","","1663","","","","","Yes","1"
"Joseph Marchand","","1835","","","","","Yes","1"
"Joseph Pignatelli","","1811","","","","","Yes","1"
"Joseph Vaz","21 Apr 1651","16 Jan 1711","14 Jan 2015","","","","Yes","1"
"Josephine Bakhita","","1947","","","","","Yes","1"
"Josse (Judoc)","","c. 668","","Yes","","","Yes","2"
"Juan Diego","","1548","","","","","Yes","1"
"Judoc (Josse)","","c. 668","","Yes","","","Yes","2"
"Juliana of Lazarevo","","1604","","","","Yes","","1"
"Juliana of Nicomedia","","~304","","","","Yes","Yes","2"
"Julian of Norwich","","c. 1416","","Yes","","","Yes","2"
"Juliana Falconieri","","1270","","","","","Yes","1"
"Juliana of Cornillon","","1193","","","","","Yes","1"
"Julie Billiart","","1816","","","","","Yes","1"
"Justin de Jacobis","","1800","","","","","Yes","1"
"Jutta of Kulmsee","","1260","","","","","Yes","1"
"Kassia","","867","","","","Yes","","1"
"Katharine Drexel","26 Nov 1858","3 Mar 1955","1 Oct 2000","","","","Yes","1"
"Kea","","early 6th century","","Yes","","","Yes","2"
"Kessog","","520","","Yes","","","Yes","2"
"Kevin of Glendalough","","618","","Yes","Yes","Yes","Yes","4"
"Kinga of Poland","","1292","","","","","Yes","1"
"Kirill of Beloozero","","1427","","","","Yes","","1"
"Konstantin of Russia","1891","1918","","","","Yes","","1"
"Ladislaus of Hungary","","1095","","","","","Yes","1"
"Lambert of Maastricht","","700","","","","","Yes","1"
"Laura of Cordoba","","864","","","","","Yes","1"
"Laura of Saint Catherine of Siena","26 May 1874","21 Oct 1949","12 May 2013","","","","Yes","1"
"Laurent-Marie-Joseph Imbert","","1818","","","","","Yes","1"
"Lawrence","","258","","Yes","","Yes","Yes","3"
"Lazar of Serbia","","1389","","","","Yes","","1"
"Leander of Seville","","600 or 601","","","","","Yes","1"
"Leo the Great","","461","","Yes","","Yes","Yes","3"
"Pope Leo II","","28 Jun 683","","","","Yes","Yes","2"
"Pope Leo III","","12 Jun 816","","","","Yes","Yes","2"
"Pope Leo IV","","855","","","","Yes","Yes","2"
"Pope Leo IX","21 Jun 1002","19 Apr 1054","","","","","Yes","1"
"Leodegar of Autun","","679","","","","Yes","Yes","2"
"Leopold Mandic","","1942","","","","","Yes","1"
"Lidwina of Schiedam","","1433","","","","","Yes","1"
"Livinus of Ghent","","657","","","","","Yes","1"
"LorcÃ¡n Ua Tuathail","","1180","","","","","Yes","1"
"Lorenzo Ruiz","","1637","","","","","Yes","1"
"Louis","","1270","","","","","Yes","1"
"Louise de Marillac","","1660","","","","","Yes","1"
"Lucy Yi Zhenmei","","1862","","","","","Yes","1"
"Lucy of Syracuse","","304","","Yes","","Yes","Yes","3"
"Ludolph of Ratzeburg","","1250","","","","","Yes","1"
"Luke the Evangelist","","84","","","","","Yes","1"
"Lupus of Sens","","623","","","","","Yes","1"
"Lutgardis","","1246","","","","","Yes","1"
"Machar","","6th century","","Yes","","","Yes","2"
"Magdalen of Canossa","","1835","","","","","Yes","1"
"Magdalene of Nagasaki","","1634","","","","Yes","","1"
"Malachy","","1148","","","","","Yes","1"
"Malo","","621","","","","","Yes","1"
"Marcellin Champagnat","","1840","","","","","Yes","1"
"Marcouf","","588","","","","","Yes","1"
"Margaret the Barefooted","","1395","","","","","Yes","1"
"Margaret Clitherow","","1586","","","","","Yes","1"
"Margaret of Cortona","","1297","","","","","Yes","1"
"Margaret of Hungary","1242","1271","1943","","","","Yes","1"
"Margaret of Scotland (Queen)","","1093","","Yes","","","Yes","2"
"Margaret Ward","","1588","","","","","Yes","1"
"Marguerite D'Youville","","1771","","","","","Yes","1"
"Marguerite Marie Alacoque","","1690","","","","","Yes","1"
"Maria Bernarda BÃ¼tler","1848","1924","","","","","Yes","1"
"Maria Crocifissa di Rosa","","1855","","","","","Yes","1"
"Maria Goretti","","1902","","","","","Yes","1"
"Maria Domenica Mazzarello","","1881","","","","","Yes","1"
"Maria of Russia","1899","1918","","","","Yes","","1"
"Marianita de JÃ©sus","","1645","","","","","Yes","1"
"Marie-EugÃ©nie de JÃ©sus","","1898","","","","","Yes","1"
"Mark of Ephesus","","1444","","","","Yes","","1"
"Martin de Porres","","1639","","","","","Yes","1"
"Pope Martin I","","655","","","Yes","Yes","Yes","3"
"Martyr Saints of China","","1648â\u0080\u00931930","","","","","Yes","1"
"Martyrs of Thailand","","1940","","","","","Yes","1"
"Mary of the Gael","","525","","","","Yes","Yes","2"
