"Secale cereale L.","Rye","Poaceae","Interspecific hybrid origin","Confirmed","Uncertain (Secale montanum Guss., S. vavilovii Grossh.)","Homoploid","Bartos et al., 2008; Korzun et al., 2001; Hillman, 1978; Tang et al., 2011; Salamini et al., 2002",""
"Sechium edule (Jacq.) Sw.","Chayote","Cucurbitaceae","Interspecific introgression","Putative","Sechium compositum (Donn. Sm.) C. Jeffrey","Homoploid","Newstrom, 1991",""
"Setaria italica (L.) P.Beauv.","Foxtail millet","Poaceae","Interspecific introgression","Confirmed","Setaria viridis (L.) P.Beauv.","Homoploid","Till-Bottraud et al., 1992",""
"Solanum L. spp. Section Petota","Potato","Solanaceae","Interspecific hybrid origin, allopolyploid origin, interspecific introgression","Confirmed","Including Solanum tuberosum L., S. ajanhuiri Juz. & Bukasov, S. curtilobum Juz. & Bukasov, S. juzepczukii Bukasov","Homoploid and Polyploid","Rodriguez et al., 2010",""
"Solanum lycopersicum L.","Tomato","Solanaceae","Intraspecific introgression, interspecific introgression","Confirmed","Solanum lycopersicum var. cerasiforme (Dunal) D.M. Spooner, G.J. Anderson & R.K. Jansen and S. pimpinellifolium L.","Homoploid","Blanca et al., 2012; Causse et al., 2013; Rick, 1950",""
"Solanum melongena L.","Eggplant","Solanaceae","Interspecific hybrid origin, interspecific introgression, intraspecific introgression","Confirmed","Solanum undatum Lam. and others; wild S. melongena L. (=S. insanum L.)","Homoploid","Knapp et al., 2013; Meyer et al., 2012","Hybrid origin is not confirmed, but introgression is well documented"
"Solanum muricatum Aiton","Pepino dulce","Solanaceae","Interspecific hybrid origin, interspecific introgression","Likely","Solanum species in Series Caripensia","Homoploid","Blanca et al., 2007","Polyphyletic origin and extensive, ongoing introgression with wild species"
"Solanum tuberosum","Potato","Solanaceae","Intraspecific Hybrid","Confirmed","Diploid potato lines crossed with S. chacoense containing Sli gene","Homoploid","Lindhout et al., 2011",""
"Spondias purpurea L.","Jocote","Anacardiaceae","Interspecific introgression","Putative","Spondias mombin L.","Homoploid","Miller and Schaal, 2005",""
"Theobroma cacao L.","Cacao (Trinitario-type)","Malvaceae","Intraspecific hybrid origin","Confirmed","Theobroma cacao L. 'Forastero' and 'Criollo' Germplasm","Homoploid","Yang et al., 2013",""
"Triticum aestivum L.","Bread wheat, spelt","Poaceae","Allopolyploid origin","Confirmed","Triticum turgidum L. (tetraploid) with Aegilops tauschii Coss.","Polyploid (hexaploid)","2n=6x=42 Matsuoka, 2011; Dvorak, 2012",""
"Triticum turgidum L.","Emmer wheat, durum wheat","Poaceae","Allopolyploid origin","Confirmed","Triticum urartu Thumanjan ex Gandilyan and Aegilops speltoides Tausch","Polyploid (tetraploid)","2n=4x=28 Dvorak et al., 2012; Matsuoka, 2011; Yamane and Kawahara, 2005",""
"Vaccinium corymbosum L.","Highbush blueberry","Ericaceae","Interspecific hybrid origin, interspecific introgression","Putative","Vaccinium tenellum Aiton, V. darrowii Camp, (V. virgatum Aiton, V. angustifolium Aiton)","Uncertain","Vander Kloet, 1980; Bruederle et al., 1994; Lyrene et al., 2003; Boches et al., 2006","Possible hybrid origin during the Plesitocene"
"Vanilla tahitensis J.W. Moore","Tahitian vanilla","Orchidaceae","Allopolyploid origin","Confirmed","Vanilla planifolia Jacks. ex Andrews and V. odorata C.Presl","Polyploid","Variable, 2n=2x(4x)=32(64) Lubinsky et al., 2008",""
"Vitis rotundifolia Michx.","Grape","Vitaceae","Interspecific introgression","Confirmed","ManyVitis spp.","Homoploid","2n=2x=38 Reisch et al., 2012; This et al., 2006",""
"Zea mays L.","Maize","Poaeceae","Intraspecific introgression","Confirmed","Wild Zea mays L. (teosinte, =subsp. parviglumis Iltis & Doebley)","Homoploid","Van Heerwaarden et al., 2011; Hufford et al., 2013",""

