"City served","FAA","IATA","ICAO","Airport name","Role","Enpl."
"Hillsboro","3H4","","","Hillsboro Municipal Airport","GA",""
"Jamestown","JMS","JMS","KJMS","Jamestown Regional Airport","GA","2,769"
"Kenmare","7K5","","","Kenmare Municipal Airport","GA",""
"Kindred","K74","","","Hamry Field","GA",""
"LaMoure","4F9","","","LaMoure Rott Municipal Airport","GA",""
"Lakota","5L0","","","Lakota Municipal Airport","GA",""
"Langdon","D55","","","Robertson Field","GA",""
"Linton","7L2","","","Linton Municipal Airport","GA",""
"Lisbon","6L3","","","Lisbon Municipal Airport","GA",""
"Mandan","Y19","","","Mandan Municipal Airport","GA",""
"Mohall","HBC","","KHBC","Mohall Municipal Airport","GA",""
"Mott","3P3","","","Mott Municipal Airport","GA",""
"Northwood","4V4","","","Northwood Municipal Airport (Vince Field)","GA",""
"Oakes","2D5","","","Oakes Municipal Airport","GA",""
"Park River","Y37","","","Park River Airport (W.C. Skjerven Field)","GA",""
"Parshall","Y74","","","Parshall-Hankins Airport","GA",""
"Pembina","PMB","PMB","KPMB","Pembina Municipal Airport","GA",""
"Rolla","06D","","","Rolla Municipal Airport","GA",""
"Rugby","RUG","","KRUG","Rugby Municipal Airport","GA",""
"Stanley","08D","","","Stanley Municipal Airport","GA",""
"Tioga","D60","VEX","","Tioga Municipal Airport","GA",""
"Valley City","BAC","","KBAC","Barnes County Municipal Airport","GA",""
"Wahpeton","BWP","WAH","KBWP","Harry Stern Airport","GA",""
"Walhalla","96D","","","Walhalla Municipal Airport","GA",""
"Washburn","5C8","","","Washburn Municipal Airport","GA",""
"Watford City","S25","","","Watford City Municipal Airport","GA","5"
"","","","","Other public-use airports (not listed in NPIAS)","",""
"Arthur","1A2","","","Arthur Airport","",""
"Ashley","ASY","ASY","KASY","Ashley Municipal Airport","",""
"Beulah","95D","","","Beulah Airport","",""
"Bowbells","5B4","","","Bowbells Municipal Airport","",""
"Columbus","D49","","","Columbus Municipal Airport","",""
"Drayton","D29","","","Drayton Municipal Airport","",""
"Elgin","Y71","","","Elgin Municipal Airport","",""
"Enderlin","5N4","","","Sky Haven Airport","",""
"Fargo","D54","","","West Fargo Municipal Airport","",""
"Fessenden","D24","","","Fessenden Municipal Airport","",""
"Gackle","9G9","","","Gackle Municipal Airport","",""
"Grenora","7N6","","","Grenora Centennial Airport","",""
"Hazelton","6H8","","","Hazelton Municipal Airport","",""
"Killdeer","9Y1","","","Weydahl Field","",""
"Kulm","D03","","","Kulm Municipal Airport (opened 2009, replacing Pruetz Municipal)","",""
"Larimore","2L1","","","Larimore Municipal Airport","",""
"Leeds","D31","","","Leeds Municipal Airport","",""
"Lidgerwood","4N4","","","Lidgerwood Municipal Airport","",""
"Maddock","6D3","","","Maddock Municipal Airport","",""
"Mayville","D56","","","Mayville Municipal Airport","",""
"McClusky","7G2","","","McClusky Municipal Airport","",""
"McVille","8M6","","","McVille Municipal Airport","",""
"Milnor","4R6","","","Milnor Municipal Airport","",""
"Minto","D06","","","Minto Municipal Airport","",""
"Napoleon","5B5","","","Napoleon Municipal Airport","",""
"New Rockford","8J7","","","Tomlinson Field","",""
"New Town","05D","","","New Town Municipal Airport","",""
"Page","64G","","","Page Regional Airport","",""
"Plaza","Y99","","","Trulson Field","",""
"Richardton","4E8","","","Richardton Airport","",""
"Riverdale","37N","","","Garrison Dam Recreational Airpark","",""
"Rolette","2H9","","","Rolette Airport","",""
"St. Thomas","4S5","","","St. Thomas Municipal Airport","",""
"Towner","D61","","","Towner Municipal Airport","",""
"Turtle Lake","91N","","","Turtle Lake Municipal Airport","",""
"Westhope","D64","","","Westhope Municipal Airport","",""
"Wishek","6L5","","","Wishek Municipal Airport","",""
"","","","","Other military airports","",""
"Grand Forks","RDR","RDR","KRDR","Grand Forks Air Force Base","",""
"Minot","MIB","MIB","KMIB","Minot Air Force Base","","380"
"","","","","Notable former airports","",""
"Kulm","5K9","","","Pruetz Municipal Airport (closed 2009, replaced by Kulm Municipal)","",""
"Wimbledon","","","","Wimbledon Airport (closed 2001-2003) [1]","",""

