"Name","Birth","Birthplace","Death","Place of death","Notes"
"Blessed Bernard Scammacca","1430","","1587","",""
"Blessed George Douglas","","","1587","",""
"Blessed John Hambley","1560","","1587","",""
"Margaret Ward","","","1588","",""
"Ralph Crockett","","","1588","",""
"Richard Martin","","","1588","",""
"Blessed Christopher Buxton","","","1588","",""
"Blessed Edward Burden","1540","","1588","",""
"Blessed Edward Campion","","","1588","",""
"Blessed Edward James","","","1588","",""
"Blessed Edward Shelley","","","1588","",""
"Blessed Henry Webley","1558","","1588","",""
"Blessed Hugh More","1563","","1588","",""
"Blessed James Claxton","","","1588","",""
"Blessed John Robinson","","","1588","",""
"Blessed John Roche","","","1588","",""
"Blessed Nicholas Garlick","1555","","1588","",""
"Blessed Richard Flower","","","1588","",""
"Blessed Richard Leigh","","","1588","",""
"Blessed Richard Martin","","","1588","",""
"Blessed Robert Morton","","","1588","",""
"Blessed Robert Sutton","1545","","1588","",""
"Blessed Robert Widmerpool","","","1588","",""
"Blessed Robert Wilcox","","","1588","",""
"Blessed Thomas Felton","1567","","1588","",""
"Blessed Thomas Holford (Thomas Acton)","","","1588","",""
"Blessed William Dean","","","1588","",""
"Blessed William Guntei","","","1588","",""
"Blessed William Hartley","","","1588","",""
"Blessed William Way","","","1588","",""
"Benedict the Black (Benedict the Moor)","1526","","1589","",""
"Catherine de Ricci","1522","","1589","",""
"Blessed William Spenser and Robert Hardesty","","","1589","",""
"Blesseds George Nichols, Richard Yaxley, Thomas Belson, and Humphrey Pritchard","","","1589","",""
"Blesseds John Amias and Robert Dalby","","","1589","",""
"Blessed Bartolomeu Fernandes dos Martires","1514","","1590","",""
"Blessed Christopher Bales","1564","","1590","",""
"Blessed Edmund Duke","1564","","1590","",""
"Blessed Francis Dickenson","","","1590","",""
"Blessed Miles Gerard","","","1590","",""
"Blessed Nicholas Horner","","","1590","",""
"Blesseds Edward Jones and Antony Middleton","","","1590","",""
"Blesseds Richard Hill, John Hogg, and Richard Holiday","","","1590","",""
"Aloysius Gonzaga","1568","","1591","",""
"Edmund Genings, Eustace White, and Polydore Plasden, priests and martyrs (d. 1591), and Swithun Wells","1536","","1591","",""
"John of the Cross","1542","","1591","",""
"Martyrs of London","15821588","","1591","",""
"Polydore Plasden","1563","","1591","",""
"Blessed Alphonsus de Orozco","1500","","1591","",""
"Blessed George Beesley","1563","","1591","",""
"Blessed John Mason","","","1591","",""
"Blessed Lawrence Humphrey","","","1591","",""
"Blessed Ralph Milner and Roger Dickenson","","","1591","",""
"Blessed Robert Thorpe","","","1591","",""
"Blessed Sidney Hodgson","","","1591","",""
"Blessed William Pike","","","1591","",""
"Alexander Sauli","1534","","1592","","Bishop of Pavia"
"Paschal Baylon","1540","","1592","",""
"Blessed Thomas Pormort","1559","","1592","",""
"Blessed William Patenson","","","1592","",""
"John Boste","","","1593","",""
"Blessed Edward Waterson","","London","1593 (OS)","Newcastle upon Tyne",""
"Blessed James Bird","","","1593","",""
"Blessed William Davies","","","1593","",""
"Blesseds James Sales and William Saultemouche","15567","","1593","",""
"Blessed Edward Osbaldeston","1560","","1594","",""
"Blessed John Carey","","","1594","",""
"Blessed John Cornelius","1557","","1594","",""
"Blessed John Ingram","1565","","1594","",""
"Blessed John Speed","","","1594","",""
"Blessed Patrick Salmon","","","1594","",""
"Blessed Thomas Bosgrave","","","1594","",""
"Blessed William Harrington","1566","","1594","",""
"Henry Walpole","1558","","1595","",""
"Philip Howard","","","1595","",""
"Philip Neri","1515","","1595","",""
"Robert Southwell","1561","","1595","",""
"William Freeman","","","1595","",""
"Blessed Alexander Rawlins","","","1595","",""
"Blessed William Freeman","1558","","1595","",""
"Blesseds George Errington","","","1596","",""
"Anthony Dainan","","","1597","",""
"Bonaventure of Miako","","","1597","",""
"Cosmas","","","1597","",""
"Francis of St. Michael","","","1597","",""
"James Kisai","","","1597","",""
"John Soan de Goto","","","1597","",""
"Leo Karasuma","","","1597","",""
"Louis Ibarachi","1585","","1597","",""
"Martin de Aguirre","","","1597","",""
"Martin Loynaz of the Ascension","","","1597","",""
"Matthias of Meako","","","1597","",""
"Michael Kozaki","","","1597","",""
"Paulo Miki, priest and martyr, and Companions","1565","","1597","",""
"Peter Baptist","","","1597","",""
"Peter Canisius","1521","","1597","",""
"Peter Shukeshiko","","","1597","",""
"Peter Sukejiro","","","1597","",""
"Philip of Jesus","","","1597","",""
"Thomas Danki","","","1597","",""
"Thomas Kozaki","","","1597","",""
"Blessed Henry Abbot","","","1597","",""
"Blessed Jose de Anchieta","1534","","1597","",""
"Blessed Paul of Saint Mary","","","1597","",""
"Blessed Thomas Fulthrop","","","1597","",""
"Blessed Thomas Warcop","","","1597","",""
"Blessed William Andleby","","","1597","",""
"John Jones\/Buckley","","","1598","",""
"Blessed Christopher Robinson","","","1598","",""
"Blesseds Peter Snow and Ralph Grimston","","","1598","",""
"Blessed Christopher Wharton","","","1600","",""
"Blessed Edward Thwing (Thweng)","1565","","1600","",""
"Blessed John Grande","1546","","1600","",""
"John Rigby","","","1600","",""
"Blessed Robert Nutter","1557","","1600","",""
"Blessed Sebastian Aparicio","","","1600","",""
"Blesseds Thomas Hunt and Thomas Sprott","","","1600","",""
"Blessed Thomas Palasor","","","1600","",""
"Blessed John Talbot","","","1600","",""

