"City served","FAA","IATA","ICAO","Airport name","Role","Enpl."
"Canby","CNB","","KCNB","Canby Municipal Airport (Myers Field)","GA",""
"Cloquet","COQ","","KCOQ","Cloquet\/Carlton County Airport","GA","12"
"Cook","CQM","","KCQM","Cook Municipal Airport","GA","12"
"Crookston","CKN","CKN","KCKN","Crookston Municipal Airport (Kirkwood Field)","GA",""
"Detroit Lakes","DTL","DTL","KDTL","Detroit Lakes Airport (Wething Field)","GA","2"
"Dodge Center","TOB","","KTOB","Dodge Center Airport (Dodge Center Municipal)","GA",""
"Duluth","DYT","","KDYT","Sky Harbor Airport & Seaplane Base","GA",""
"Elbow Lake","Y63","","","Elbow Lake Municipalâ\u0080\u0093Pride of the Prairie Airport","GA",""
"Ely","ELO","LYU","KELO","Ely Municipal Airport","GA",""
"Eveleth","EVM","EVM","KEVM","Evelethâ\u0080\u0093Virginia Municipal Airport","GA","3"
"Fairmont","FRM","FRM","KFRM","Fairmont Municipal Airport","GA",""
"Faribault","FBL","FBL","KFBL","Faribault Municipal Airport","GA","13"
"Fergus Falls","FFM","FFM","KFFM","Fergus Falls Municipal Airport (Einar Mickelson Field)","GA","1"
"Fosston","FSE","","KFSE","Fosston Municipal Airport","GA",""
"Glencoe","GYL","","KGYL","Glencoe Municipal Airport (Vernon Perschau Field)","GA",""
"Glenwood","GHW","","KGHW","Glenwood Municipal Airport","GA",""
"Grand Marais","CKC","GRM","KCKC","Grand Marais\/Cook County Airport","GA",""
"Grand Rapids","GPZ","GPZ","KGPZ","Grand Rapids\/Itasca County Airport (Gordon Newstrom Field)","GA","2"
"Hallock","HCO","","KHCO","Hallock Municipal Airport","GA",""
"Hawley","04Y","","","Hawley Municipal Airport","GA",""
"Hector","1D6","","","Hector Municipal Airport","GA",""
"Hutchinson","HCD","","KHCD","Hutchinson Municipal Airport (Butler Field)","GA",""
"Jackson","MJQ","MJQ","KMJQ","Jackson Municipal Airport","GA",""
"Le Sueur","12Y","","","Le Sueur Municipal Airport","GA",""
"Litchfield","LJF","","KLJF","Litchfield Municipal Airport","GA",""
"Little Falls","LXL","","KLXL","Little Falls\/Morrison County Airport (Lindbergh Field)","GA",""
"Long Prairie","14Y","","","Long Prairie Municipal Airport (Todd Field)","GA",""
"Longville","XVG","","KXVG","Longville Municipal Airport","GA",""
"Luverne","LYV","","KLYV","Luverne Municipal Airport (Quentin Aanenson Field)","GA",""
"Madison","DXX","","KDXX","Lac qui Parle County Airport","GA",""
"Mahnomen","3N8","","","Mahnomen County Airport","GA",""
"Mankato","MKT","MKT","KMKT","Mankato Regional Airport","GA","10"
"Marshall","MML","MML","KMML","Southwest Minnesota Regional Airport (Marshall\/Ryan Field)","GA","2"
"Montevideo","MVE","MVE","KMVE","Montevideoâ\u0080\u0093Chippewa County Airport","GA",""
"Moorhead","JKJ","","KJKJ","Moorhead Municipal Airport","GA",""
"Moose Lake","MZH","","KMZH","Moose Lake Carlton County Airport","GA",""
"Mora","JMR","","KJMR","Mora Municipal Airport","GA",""
"Morris","MOX","MOX","KMOX","Morris Municipal Airport (Charlie Schmidt Field)","GA","5"
"New Ulm","ULM","ULM","KULM","New Ulm Municipal Airport","GA",""
"Orr","ORB","","KORB","Orr Regional Airport","GA",""
"Ortonville","VVV","","KVVV","Ortonville Municipal Airport (Martinson Field)","GA","2"
"Owatonna","OWA","OWA","KOWA","Owatonna Degner Regional Airport","GA","5"
"Park Rapids","PKD","PKD","KPKD","Park Rapids Municipal Airport (Konshok Field)","GA",""
"Paynesville","PEX","","KPEX","Paynesville Municipal Airport","GA",""
"Pine River","PWC","","KPWC","Pine River Regional Airport","GA",""
"Pipestone","PQN","","KPQN","Pipestone Municipal Airport","GA","3"
"Preston","FKA","","KFKA","Fillmore County Airport","GA",""
"Princeton","PNM","","KPNM","Princeton Municipal Airport","GA",""
"Red Wing","RGK","","KRGK","Red Wing Regional Airport","GA","2"
"Redwood Falls","RWF","RWF","KRWF","Redwood Falls Municipal Airport","GA",""
"Roseau","ROX","ROX","KROX","Roseau Municipal Airport (Rudy Billberg Field)","GA",""
"Rush City \/ Pine City","ROS","","KROS","Rush City Regional Airport","GA",""
"Rushford","55Y","","","Rushford Municipal Airport","GA",""
"Sauk Centre","D39","","","Sauk Centre Municipal Airport","GA",""
"Silver Bay","BFW","","KBFW","Silver Bay Municipal Airport","GA",""
"Springfield","D42","","","Springfield Municipal Airport","GA",""
"St. James","JYG","","KJYG","St. James Municipal Airport","GA",""
"Staples","SAZ","","KSAZ","Staples Municipal Airport","GA",""
"Thief River Falls","TVF","TVF","KTVF","Thief River Falls Regional Airport","GA","2,479"
"Tower","12D","","","Tower Municipal Airport & Seaplane Base","GA",""
"Tracy","TKC","","KTKC","Tracy Municipal Airport","GA",""
"Two Harbors","TWM","","KTWM","Richard B. Helgeson Airport","GA",""
"Wadena","ADC","","KADC","Wadena Municipal Airport","GA",""
"Walker","Y49","","","Walker Municipal Airport","GA",""
"Warroad","RRT","RRT","KRRT","Warroad International Memorial Airport (Swede Carlson Field)","GA",""
"Waseca","ACQ","","KACQ","Waseca Municipal Airport","GA",""
"Wheaton","ETH","","KETH","Wheaton Municipal Airport","GA",""
"Willmar","BDH","","KBDH","Willmar Municipal Airport (John L. Rice Field) (replaced ILL)","GA","5"
"Windom","MWM","MWM","KMWM","Windom Municipal Airport","GA",""
"Winona","ONA","ONA","KONA","Winona Municipal Airport (Max Conrad Field)","GA","12"
"Winsted","10D","","","Winsted Municipal Airport","GA",""
"Worthington","OTG","OTG","KOTG","Worthington Municipal Airport","GA","3"
"","","","","Other public-use airports (not listed in NPIAS)","",""
"Ada \/ Twin Valley","D00","","","Norman County Ada\/Twin Valley Airport","",""
"Appleton","AQP","","KAQP","Appleton Municipal Airport","",""
"Backus","7Y3","","","Backus Municipal Airport","",""
"Bagley","7Y4","","","Bagley Municipal Airport","",""
"Belle Plaine","7Y7","","","A.R.S. Sport Airstrip (A.R.S. Sport Strip)","",""
"Bemidji","96M","","","Moberg Air Base (Seaplane Base)","",""
"Big Falls","7Y9","","","Big Falls Municipal Airport","",""
"Bigfork","FOZ","","KFOZ","Bigfork Municipal Airport","",""
"Bowstring","9Y0","","","Bowstring Airport","",""
"Brooten","6D1","","","Brooten Municipal Airport","",""
"Chatfield","2C4","","","Flying A Airport","",""
"Clarissa","8Y5","","","Clarissa Municipal Airport","",""
"Clear Lake","8Y6","","","Leaders\/Clear Lake Airport","",""
"Crane Lake","CDD","","KCDD","Scotts Seaplane Base","",""
"Deerwood","M69","","","Birch Lake Seaplane Base","",""
"Deerwood","","","","Mal's Serpent Lake Seaplane Base","",""
"Duluth","","","","North Country Seaplane Base","",""
"East Gull Lake","9Y2","","","East Gull Lake Airport","",""
"Eveleth","9Y5","","","Sky Harbor Seaplane Base","",""
"Fertile","D14","","","Fertile Municipal Airport","",""
"Forest Lake","25D","","","Forest Lake Airport","",""
"Grand Marais","0G5","","","Grand Marais\/Cook County Seaplane Base","",""
"Granite Falls","GDB","","KGDB","Granite Falls Municipal Airport (Lenzenâ\u0080\u0093Roe Memorial Field)","","3"
"Grygla","3G2","","","Grygla Municipal Airport (Mel Wilkens Field)","",""
"Henning","05Y","","","Henning Municipal Airport","",""
"Herman","06Y","","","Herman Municipal Airport","",""
"Hill City","07Y","","","Hill Cityâ\u0080\u0093Quadna Mountain Airport","",""
"Hinckley","04W","","","Field of Dreams Airport","",""
"International Falls","09I","","","International Falls Seaplane Base","",""
"Inver Grove Heights","09Y","","","Wipline Seaplane Base","",""
"Karlstad","23D","","","Karlstad Municipal Airport","",""
"Lino Lakes","8Y4","","","Surfside Seaplane Base","",""
"Littlefork","13Y","","","Littlefork Municipal\/Hanover Airport","",""
"Maple Lake","MGG","","KMGG","Maple Lake Municipal Airport & Seaplane Base","",""
"McGregor","HZX","","KHZX","Isedor Iverson Airport","",""
"Milaca","18Y","","","Milaca Municipal Airport (Milaca Airport)","",""
"Motley","22Y","","","Morey's Airport","",""
"Murdock","23Y","","","Murdock Municipal Airport","",""
"Nary","5C3","","","Nary National Airport (Shefland Field)","",""
"Northome","43Y","","","Northome Municipal Airport","",""
"Olivia","OVL","","KOVL","Olivia Regional Airport","",""
"Pelican Rapids","47Y","","","Pelican Rapids Municipal Airport (Lyon's Field)","",""
"Perham","16D","","","Perham Municipal Airport","",""
"Pinecreek","48Y","","","Piney Pinecreek Border Airport","",""
"Red Lake Falls","D81","","","Red Lake Falls Municipal Airport","",""
"Remer","52Y","","","Remer Municipal Airport","",""
"Slayton","DVP","","KDVP","Slayton Municipal Airport","",""
"Sleepy Eye","Y58","","","Sleepy Eye Municipal Airport","",""
"Stanton","SYN","SYN","KSYN","Stanton Airfield","",""
"Starbuck","D32","","","Starbuck Municipal Airport","",""
"Stephen","D41","","","Stephen Municipal Airport","",""
"Tyler","63Y","","","Tyler Municipal Airport","",""
"Warren","D37","","","Warren Municipal Airport","",""
"Waskish","VWU","","KVWU","Waskish Municipal Airport","",""
"Waubun","M49","","","Jolly Fisherman Seaplane Base","",""
"Wells","68Y","","","Wells Municipal Airport","",""
"","","","","Other military airports","",""
"Camp Ripley","RYM","","KRYM","Ray S. Miller Army Airfield (National Guard)","",""
"","","","","Notable private-use airports","",""
"Angle Inlet","58MN","","","Northwest Angle Airport","",""
"Prior Lake","MN76","","","Marty's Tranquility Base (Seaplane Base) (former public-use, FAA: 45D) [1]","",""
"","","","","Notable former airports","",""
"Grand Marais","","GRM","","Devil's Track Municipal Airport (closed 1993, replaced by CKC) [2]","",""
"New York Mills","","","","New York Mills Municipal Airport (closed 2011?) [3]","",""
"Pine City","90D","","","Pine City Municipal Airport (closed 2001) []","",""
"Willmar","","ILL","KILL","Old Willmar Municipal Airport (closed 2006, replaced by BDH) [4]","GA",""

