"Sourcebook","Kits"
"The Complete Bardâ\u0080\u0099s Handbook","Blade, Charlatan, Gypsy-bard, Herald, Jester, Jongleur, Loremaster, Meistersinger, Riddlemaster, Skald, Thespian"
"The Complete Book of Dwarves","Animal Master, Axe For Hire, Battlerager, Champion, Clansdwarf, Crafts Priest, Diplomat, Entertainer, Ghetto Fighter, Hearth Guard, Highborn, Locksmith, Outcast, Pariah, Patrician, Pest Controller, Rapid Response Rider, Ritual Priest, Sharpshooter, Temple Guard, Trader, Vermin Slayer, Vindicator, Wayfinder"
"The Complete Book of Elves","Archer, Bladesinger, Collector, Elven Minstrel, Herbalist, Huntsman, Infiltrator, Spellfilcher, Undead Slayer, War Wizard, Wilderness Runner, Windrider"
"The Complete Book of Gnomes & Halflings","Bandit, Bilker, Breachgnome, Buffoon, Burglar, Cartographer, Forestwalker, Goblinsticker, Healer, Homesteader, Imagemaker, Leaftender, Mercenary, Mouseburglar, Oracle, Rocktender, Sheriff, Smuggler, Squire, Stalker, The Archer, Trader, Traveler, Treetender, Tumbler, Tunnelrat, Urchin, Vanisher"
"The Complete Book of Humanoids","Hedge wizard, Humanoid Bard, Humanoid Scholar, Mine Rowdy, Oracle, Outlaw Mage, Pit Fighter, Saurial Paladin, Scavenger, Sellsword, Shadow Shaman, Tramp, Tribal Defender, Tunnel Rat, Wandering Mystic, War Priest, Wilderness Protector, Witch Doctor"
"The Complete Book of Necromancers","Archetypal Necromancer, Anatomist, Deathslayer, Philosopher, Undead Master"
"The Complete Druid's Handbook","Adviser, Avenger, Beastfriend, Guardian, Hivemaster, Lost Druid, Natural Philosopher, Outlaw, Pacifist, Savage, Shapeshifter, Totemic Druid, Village Druid, Wanderer"
"The Complete Fighter's Handbook","Amazon, Barbarian, Beast-Rider, Berserker, Cavalier, Gladiator, Myrmidon, Noble Warrior, Peasant Hero, Pirate\/Outlaw, Samurai, Savage, Swashbuckler"
"The Complete Gladiatorâ\u0080\u0099s Handbook","Arena Champion, Beast Trainer, Blind fighter, Convict, Gladiatorial Slave, Jazst, Montare, Professional Gladiator, Reaver"
"The Complete Ninjaâ\u0080\u0099s Handbook","Consort, Eliminator, Intruder, Lone Wolf, Pathfinder, Punisher, Ravager, Shadow Warrior, Spirit Warrior, Stealer-In"
"The Complete Paladinâ\u0080\u0099s Handbook","Chevalier, Divinate, Envoy, Equerry, Errant, Expatriate, Ghosthunter, Inquisitor, Medician, Militarist, Skyrider, Squire, Votary"
"The Complete Priest's Handbook","Amazon Priestess, Barbarian\/Berserker Priest, Fighting-Monk, Nobleman Priest, Outlaw Priest, Pacifist Priest, Peasant Priest, Prophet Priest, Savage Priest, Scholar Priest"
"The Complete Rangerâ\u0080\u0099s Handbook","Beastmaster, Explorer, Falconer, Feralan, Forest Runner, Giant Killer, Greenwood Ranger, Guardian, Justifier, Mountain Man, Pathfinder, Sea Ranger, Seeker, Stalker, Warden"
"The Complete Shaâ\u0080\u0099irâ\u0080\u0099s Handbook","Astrologer, Clockwork Mage, Digitalogist, Ghul Lord, Jackal, Mageweaver, Mystic of Nog, Spellslayer"
"The Complete Spacefarerâ\u0080\u0099s Handbook","Aperusa, Arcanist, Astrologer, Astronomer, Corsair, Courier, Crusader, Diplomat, Evangelist, Frontiersman, Geomancer, Harlequin, Impostor, Marine, Medicus, Merchant, Missionary, Privateer, Salvager, War Mage"
"The Complete Thief's Handbook","Acrobat, Adventurer, Assassin, Bandit, Beggar, Bounty Hunter, Buccaneer, Burglar, Cutpurse, Fence, Investigator, Scout, Smuggler, Spy, Swashbuckler, Swindler, Thug, Troubleshooter"
"The Complete Wizard's Handbook","Academician, Amazon Sorceress, Anagakok, Militant, Wizard, Mystic, Patrician, Peasant Wizard, Savage Wizard, Witch, Wu Jen"
"The Glory of Rome Campaign Sourcebook","Charioteer, Charlatan-Thief, Christian Priest, Gladiator, Military Tribune, Mithraic Priest, Philosopher-Mage, Priest of the Mysteries, Priest of the State Religion, Roman Legionary, Roman Politician, Roman Witch, Street Fighter"
"The Planewalker's Handbook","Planewalker Warrior, Planewalker Wizard, Planewalker Priest, Planewalker Rogue, Abyssal Warrior, Floating Sorcerer, Hinterland Bandit"
"The Will and the Way","Auditor, Beastmaster, Mercenary Psionicist, Noble Psionicist, Psionicist, Sensei, Tribal Psionicist"

