"Publication","City","State","Circulation"
"Inland Empire Weekly","Corona","CA","30,000"
"Isthmus","Madison","WI","54,947"
"Ithaca Times","Ithaca","NY","20,079"
"Jackson Free Press","Jackson","MS","17,000"
"JH Weekly","Jackson","WY","12,000"
"LA Weekly","Culver City","CA","174,011"
"Lagniappe","Mobile","AL","25,000"
"Lansing City Pulse","Lansing","MI","20,000"
"Las Vegas CityLife","Las Vegas","NV","72,206"
"Las Vegas Weekly","Henderson","NV","62,682"
"LEO Weekly","Louisville","KY","30,000"
"Long Island Press","Syosset","NY","80,726"
"Maui Time Weekly","Wailuku","HI","18,000"
"Memphis Flyer","Memphis","TN","51,615"
"Metro Pulse","Knoxville","TN","38,250"
"Metro Silicon Valley","San Jose","CA","70,000"
"Metro Spirit","Augusta","GA","18,071"
"Metro Times","Detroit","MI","74,839"
"Metroland","Albany","NY","40,000"
"Miami New Times","Miami","FL","69,501"
"Missoula Independent","Missoula","MT","21,818"
"Monday Magazine","Victoria","BC","38,445"
"Monterey County Weekly","Seaside","CA","36,000"
"Montreal Mirror","Montreal","QC","68,888"
"Mountain Xpress","Asheville","NC","28,377"
"Nashville Scene","Nashville","TN","48,714"
"New Haven Advocate","New Haven","CT","43,884"
"New Times Broward-Palm Beach","Ft Lauderdale","FL","53,480"
"New York Press","New York","NY","22,310"
"Newcity","Chicago","IL","50,000"
"North Bay Bohemian","Santa Rosa","CA","29,925"
"North Coast Journal","Eureka","CA","20,000"
"Now","Toronto","ON","110,552"
"Nuvo","Indianapolis","IN","42,050"
"OC Weekly","Costa Mesa","CA","69,684"
"Oklahoma Gazette","Oklahoma City","OK","53,500"
"Orlando Weekly","Orlando","FL","40,000"
"The Other Paper","Columbus","OH","46,255"
"The Pacific Northwest Inlander","Spokane","WA","48,500"
"Pacific Sun","San Rafael","CA","31,000"
"Palo Alto Weekly","Palo Alto","CA","37,000"
"Pasadena Weekly","Pasadena","CA","30,076"
"Philadelphia City Paper","Philadelphia","PA","78,625"
"Philadelphia Weekly","Philadelphia","PA","89,046"
"Phoenix New Times","Phoenix","AZ","91,023"
"The Pitch","Kansas City","MO","45,000"
"Pittsburgh City Paper","Pittsburgh","PA","69,285"
"The Portland Mercury","Portland","OR","39,353"
"The Pulse","Chattanooga","TN","15,000"
"Random Lengths News","San Pedro","CA","22,500"
"The Reader","Omaha","NE","18,500"
"Reno News & Review","Reno","NV","26,584"
"The Riverfront Times","St. Louis","MO","76,597"
"Sacramento News & Review","Sacramento","CA","76,000"
"Salt Lake City Weekly","Salt Lake City","UT","60,000"
"San Antonio Current","San Antonio","TX","40,678"
"San Diego CityBeat","San Diego","CA","38,788"
"San Diego Reader","San Diego","CA","162,743"
"San Francisco Bay Guardian","San Francisco","CA","106,708"
"San Luis Obispo New Times","San Luis Obispo","CA","38,953"
"Santa Barbara Independent","Santa Barbara","CA","40,000"
"Santa Cruz Weekly","Santa Cruz","CA","33,000"
"Santa Fe Reporter","Santa Fe","NM","20,642"
"Seattle Weekly","Seattle","WA","84,203"
"See Magazine","Edmonton","AB","21,720"
"Seven Days","Burlington","VT","36,000"
"SF Weekly","San Francisco","CA","85,046"
"Shepherd Express","Milwaukee","WI","60,192"
"The Source Weekly","Bend","OR","14,635"
"The Stranger","Seattle","WA","80,992"
"Style Weekly","Richmond","VA","35,425"
"Syracuse New Times","Syracuse","NY","34,537"
"The Texas Observer","Austin","TX","8,500"
"Tucson Weekly","Tucson","AZ","45,583"
"Urban Tulsa Weekly","Tulsa","OK","31,819"
"Valley Advocate","Northampton","MA","40,923"
"Ventura County Reporter","Ventura","CA","30,480"
"The Village Voice","New York","NY","197,098"
"Vue Weekly","Edmonton","AB","25,915"
"Washington City Paper","Washington","DC","71,030"
"Wausau City Pages","Wausau","WI","15,517"
"Weekly Alibi","Albuquerque","NM","42,848"
"Westword","Denver","CO","81,866"
"Willamette Week","Portland","OR","90,000"
"Worcester Magazine","Worcester","MA","33,950"
"Yes! Weekly","Greensboro","NC","43,000"

