"Week","Player(s)","Team(s)","Highlights","Player(s)","Team(s)","Highlights"
"August 13â\u0080\u0093August 19","FÃ©lix HernÃ¡ndez[183]","Seattle Mariners","1â\u0080\u00930; 0.00 ERA; 9 IP; K\/BB 12\/0; .000 BAA; Perfect game","Cole Hamels[184]","Philadelphia Phillies","2â\u0080\u00930; 1.62 ERA; 16.2 IP; K\/BB 15\/2; CG SHO; .246 BAA"
"August 20â\u0080\u0093August 26","AdriÃ¡n BeltrÃ©[185]","Texas Rangers",".433 (13â\u0080\u009330); 7 Runs; 5 HR; 9 RBI; 1.533 OPS","Giancarlo Stanton[186]","Miami Marlins",".286 (8â\u0080\u009328); 7 Runs; 5 HR; 8 RBI; 1.167 OPS"
"August 27â\u0080\u0093September 2","Josh Reddick[187]","Oakland Athletics",".387 (12â\u0080\u009331); 6 Runs; 3 HR; 10 RBI; 1.136 OPS","Pedro Alvarez[188]","Pittsburgh Pirates",".458 (11â\u0080\u009324); 6 Runs; 4 HR; 8 RBI; 1.542 OPS"
"September 3â\u0080\u0093September 9","James Shields[189]","Tampa Bay Rays","2â\u0080\u00930; 1.59 ERA; 17 IP; K\/BB 13\/3; CG SHO; .127 BAA","Jay Bruce[190]","Cincinnati Reds",".500 (11â\u0080\u009322); 5 Runs; 4 HR; 9 RBI; 1.769 OPS"
"September 3â\u0080\u0093September 9","B. J. Upton[189]","Tampa Bay Rays",".400 (8â\u0080\u009320); 7 Runs; 5 HR; 6 RBI; 1.678 OPS","Ricky Nolasco[190]","Miami Marlins","2â\u0080\u00930; 0.56 ERA; 16 IP; K\/BB 10\/1; CG SHO; .217 BAA"
"September 10â\u0080\u0093September 16","Miguel Cabrera[191]","Detroit Tigers",".407 (11â\u0080\u009327); 7 Runs; 3 HR; 7 RBI; 1.243 OPS","Chris Nelson[192]","Colorado Rockies",".560 (14â\u0080\u009325); 6 Runs; 1 HR; 5 RBI; 1.417 OPS"
"September 17â\u0080\u0093September 23","Ichiro Suzuki[193]","New York Yankees",".600 (15â\u0080\u009325); 7 Runs; 2 HR; 5 RBI; 6 SB; 1.590 OPS","Jason Motte[194]","St. Louis Cardinals","5 Saves; 0.00 ERA; 4.2 IP; K\/BB 10\/0; .125 BAA"
"September 24â\u0080\u0093September 30","Chris Davis[195]","Baltimore Orioles",".423 (11â\u0080\u009326); 8 Runs; 5 HR; 10 RBI; 1.521 OPS","Homer Bailey[196]","Cincinnati Reds","1â\u0080\u00930; 0.00 ERA; 9 IP; K\/BB 10\/1; .000 BAA; No-hitter"
"September 24â\u0080\u0093September 30","Justin Verlander[195]","Detroit Tigers","2â\u0080\u00930; 1.20 ERA; 15 IP; K\/BB 16\/2; .224 BAA","Homer Bailey[196]","Cincinnati Reds","1â\u0080\u00930; 0.00 ERA; 9 IP; K\/BB 10\/1; .000 BAA; No-hitter"

