"County","INCITS [1]","County seat [2]","Established [2]","Origin","Etymology[3][4]","Population [2]","Area [2]","Map"
"Perry County","145","Pinckneyville","1827","Randolph and Jackson County","Commodore Oliver Hazard Perry (1785-1819), American naval officer who led the victorious American forces at the Battle of Lake Erie","22,350","441 sq mi (1,142 km2)",""
"Piatt County","147","Monticello","1841","DeWitt and Macon County","John Piatt, the patriarch of a prominent settler family in the early history of the county","16,729","440 sq mi (1,140 km2)",""
"Pike County","149","Pittsfield","1821","Madison, Bond, and Clark County","Zebulon Pike (1779-1813), early explorer of the American Southwest, namesake of Pikes Peak","16,430","830 sq mi (2,150 km2)",""
"Pope County","151","Golconda","1816","Gallatin and Johnson County","Nathaniel Pope (1784-1850), early Delegate from Illinois Territory to Congress and judge on the United States District Court for the District of Illinois","4,470","371 sq mi (961 km2)",""
"Pulaski County","153","Mound City","1843","Alexander and Johnson County","Gen. Casimir Pulaski (1745-79), Polish American general of cavalry in the American Revolutionary War","6,161","201 sq mi (521 km2)",""
"Putnam County","155","Hennepin","1825","Fulton County","Gen. Israel Putnam (1718-90), commander of American forces at the Battle of Bunker Hill","6,006","160 sq mi (414 km2)",""
"Randolph County","157","Chester","1795","St. Clair County","Edmund Randolph (1753-1813), first Attorney General of the United States, and briefly United States Secretary of State","33,476","578 sq mi (1,497 km2)",""
"Richland County","159","Olney","1841","Clay and Lawrence County","Richland County, Ohio, itself named for its rich soil","16,233","360 sq mi (932 km2)",""
"Rock Island County","161","Rock Island","1831","Jo Daviess County","Rock Island","147,546","427 sq mi (1,106 km2)",""
"Saline County","165","Harrisburg","1847","Gallatin County","Salt springs within the county","24,913","383 sq mi (992 km2)",""
"Sangamon County","167","Springfield","1821","Madison and Bond County","Sangamon River","197,465","868 sq mi (2,248 km2)",""
"Schuyler County","169","Rushville","1825","Pike and Fulton County","Gen. Philip Schuyler (1733-1804), American Revolutionary War general and United States Senator from New York","7,544","437 sq mi (1,132 km2)",""
"Scott County","171","Winchester","1839","Morgan County","Scott County, Kentucky, itself named after Charles Scott","5,355","251 sq mi (650 km2)",""
"Shelby County","173","Shelbyville","1827","Fayette County","Isaac Shelby (1750-1826), soldier in the American Revolutionary War and War of 1812, and first and fifth Governor of Kentucky","22,363","759 sq mi (1,966 km2)",""
"St. Clair County","163","Belleville","1790","original two counties","Arthur St. Clair (1737-1818), major general in the American Revolutionary War and first Governor of the Northwest Territory","270,056","664 sq mi (1,720 km2)",""
"Stark County","175","Toulon","1839","Knox and Putnam County","Gen. John Stark (1728-1822), general in the American Revolutionary War, called the \"Hero of Bennington\"","5,994","288 sq mi (746 km2)",""
"Stephenson County","177","Freeport","1837","Jo Daviess and Winnebago County","Benjamin Stephenson (1769-1822), representative of Illinois Territory in the United States Congress from 1814 to 1816","47,711","564 sq mi (1,461 km2)",""
"Tazewell County","179","Pekin","1827","Sangamon County","Littleton Waller Tazewell (1774-1860), United States Senator from (and later governor of) Virginia","135,394","649 sq mi (1,681 km2)",""
"Union County","181","Jonesboro","1818","Johnson County","The federal union of the states","17,808","416 sq mi (1,077 km2)",""
"Vermilion County","183","Danville","1826","Edgar County","The Vermilion River","81,625","899 sq mi (2,328 km2)",""
"Wabash County","185","Mount Carmel","1824","Edwards County","The Wabash River","11,947","224 sq mi (580 km2)",""
"Warren County","187","Monmouth","1825","Schuyler County","Joseph Warren (1741-75), played a role in American Patriot movements, a prominent early fatality in the American Revolutionary War","17,707","543 sq mi (1,406 km2)",""
"Washington County","189","Nashville","1818","St. Clair County","George Washington (1732-99), commander-in-chief of American forces in the American Revolutionary War and first President of the United States","14,716","563 sq mi (1,458 km2)",""
"Wayne County","191","Fairfield","1819","Edwards County","Gen. \"Mad\" Anthony Wayne (1745-96), major general in the United States Army in the American Revolutionary War and the Northwest Indian War","16,760","714 sq mi (1,849 km2)",""
"White County","193","Carmi","1815","Gallatin County","Isaac White (1776-1811), resident of Illinois who enlisted in the Indiana militia and was killed at the Battle of Tippecanoe","14,665","495 sq mi (1,282 km2)",""
"Whiteside County","195","Morrison","1836","Jo Daviess and Henry County","Samuel Whiteside (1783-1868), state legislator and militia leader","58,498","685 sq mi (1,774 km2)",""
"Will County","197","Joliet","1836","Cook and Iroquois County","Conrad Will (1779-1835),[5] physician, local businessman and longtime member of the state legislature","677,560","837 sq mi (2,168 km2)",""
"Williamson County","199","Marion","1839","Franklin County","Hugh Williamson (1735-1819), delegate from North Carolina to the Philadelphia Convention","66,357","424 sq mi (1,098 km2)",""
"Winnebago County","201","Rockford","1836","Jo Daviess","Winnebago Native Americans","295,266","514 sq mi (1,331 km2)",""
"Woodford County","203","Eureka","1841","Tazewell and McLean County","Gen. William Woodford (1734-80), brigadier general in the American Revolutionary War who died while a British prisoner","38,664","528 sq mi (1,368 km2)",""

