"Building","Image","Country","Continent","First Built","Use","Notes"
"Red Pyramid","","Egypt","Africa","c. 2580 BC","Tomb","Third large pyramid completed by Sneferu.[61]"
"Great Pyramid of Giza","","Egypt","Africa","2560 BC","Tomb","Mausoleum for fourth dynasty Egyptian Pharaoh Khufu.[62]"
"Knowth","","Ireland","Europe","Between 2500-2000 BC","Passage grave","[63]"
"Pyramid of Khafre","","Egypt","Africa","c. 2500 BC","Tomb","One of the Pyramids of Giza.[64]"
"Pyramid of Menkaure","","Egypt","Africa","c. 2500 BC","Tomb","Menkaure was probably Khafre's successor."
"Dowth","","Ireland","Europe","2500 BC","Tomb","The cairn is about 85 metres (280 ft) in diameter and 15 metres (50 ft) high.[63]"
"Pyramid of Userkaf","","Egypt","Africa","c. 2480 BC","Tomb","Located close to Pyramid of Djoser.[65]"
"Pyramid of Sahure","","Egypt","Africa","c. 2480 BC","Tomb","Built for Sahure.[66]"
"Pyramid of Neferirkare Kakai","","Egypt","Africa","c. 2460 BC","Tomb","Built for Neferirkare Kakai.[66]"
"Pyramid of Neferefre","","Egypt","Africa","c. 2455 BC","Tomb","Never completed but does contain a tomb.[66]"
"Pyramid of Niuserre","","Egypt","Africa","c. 2425 BC","Tomb","[67]"
"Pyramid of Djedkare-Isesi","","Egypt","Africa","c. 2370 BC","Tomb",""
"Pyramid of Unas","","Egypt","Africa","c. 2340 BC","Tomb","[68]"
"Pyramid of Teti","","Egypt","Africa","c. 2330 BC","Tomb",""
"Labbacallee","","Ireland","Europe","c. 2300 BC","Tomb","The largest wedge tomb in Ireland.[citation needed]"
"Pyramid of Merenre","","Egypt","Africa","c. 2275 BC","Tomb","Built for Merenre Nemtyemsaf I but not completed."
"Pyramid of Pepi II Neferkare","","Egypt","Africa","c. 2180 BC","Tomb",""
"Crantit cairn","","Scotland","Europe","2130 BC","Tomb","Discovered in 1998 near Kirkwall.[69][70]"
"Dolmen de Viera","","Spain","Europe","2000 BC","Tomb","The Dolmen de Viera or Dolmen de los Hermanos Viera is a dolmenâ\u0080\u0094a type of single-chamber megalithic tomb[71]"
"Rubha an DÃ¹nain passage grave","","Scotland","Europe","2000 BC or older","Tomb","[72][73][74]"
"Corrimony chambered cairn","","Scotland","Europe","2000 BC or older","Tomb","A Clava-type passage grave surrounded by a circle of 11 standing stones.[75][76]"
"Knossos","","Greece","Europe","2000â\u0080\u00931300 BC","Palace","Minoan structure on a Neolithic site.[77]"
"Bryn Celli Ddu","","Wales","Europe","2000 BC","Tomb","Located on the island of Anglesey.[78]"
"Balnuaran of Clava","","Scotland","Europe","2000 BC","Tomb","The largest of three is the north-east cairn, which was partially reconstructed in the 19th century. The central cairn may have been used as a funeral pyre.[74][79][80]"
"Vinquoy cairn, Eday","","Scotland","Europe","2000 BC","Tomb","[81]"
"Pyramid of Amenemhat I","","Egypt","Africa","c. 1960 BC","Tomb",""
"Pyramid of Senusret I","","Egypt","Africa","c. 1920 BC","Tomb",""
"Pyramid of Senusret II","","Egypt","Africa","c. 1875 BC","Tomb",""
"Pyramid of Senusret III","","Egypt","Africa","c. 1835 BC","Tomb","Built for Senusret III"
"Black Pyramid","","Egypt","Africa","c. 1820 BC","Tomb","Built for Amenemhat III, it has multiple structural deficits."
"Hawara","","Egypt","Africa","c. 1810 BC","Tomb","Also built for Amenemhat III."
"Pyramid of Khendjer","","Egypt","Africa","c. 1760 BC","Tomb","Built for pharaoh Khendjer"
"Nuraghe Santu Antine","","Italy","Europe","1600 BC","Possibly a fort","The second tallest of these megalithic edifices found in Sardinia and tallest still standing.[82]"
"Su Nuraxi di Barumini","","Italy","Europe","1500 BC","Possibly a fort or a palace","The palace of Barumini is formed by a huge quatrefoiled nuraghe, whose central tower is its oldest construction. Originally it was almost 20 metres high and divided into three floors.[83][84]"
"Nuraghe La Prisciona","","Italy","Europe","1400 BC","Possibly a fort","The monument has a central tower and 2 side towers, the former with an entrance defined by a massive lintel of 3.20 m. The central chamber has a false dome, which is more than 6 meters high.[85]"
"The Ziggurat of Dur-Kurigalzu","","Iraq","Asia","14th century BC","Probably religious rituals","Built for the Kassite King Kurigalzu I.[86]"
"Treasury of Atreus","","Greece","Europe","1250 BC","Tomb","The tallest and widest dome in the world for over a thousand years.[87]"
"Chogha Zanbil","","Iran","Asia","1250 BC","Temple","One of the few extant ziggurats outside of Mesopotamia.[88]"
"Naveta d'Es Tudons","","Spain","Europe","1200-750 BC","Ossuary","The most famous megalithic chamber tomb in Minorca.[89]"
"DÃºn Aonghasa","","Ireland","Europe","1100 BC","Fort","DÃºn Aonghasa, also called Dun Aengus, has been described as one of the most spectacular prehistoric monuments in western Europe. The drystone walled hillfort is made up of 4 widely spaced concentric ramparts.[90][91]"
"The King's Grave","","Sweden","Europe","1000 BC","Tomb","Near Kivik is the remains of an unusually grand Nordic Bronze Age double burial.[92]"
"Cuicuilco Circular Pyramid","","Mexico","North America","800â\u0080\u0093600 BC","Ceremonial center","One of the oldest standing structures of the Mesoamerican cultures. First steps in the creation of a sun based calendar.[93]"
"Van Fortress","","Turkey","Asia","750 BC","Fortress","Massive Urartean stone fortification overlooking Tushpa."
"Necropolises of Cerveteri and Tarquinia","","Italy","Europe","700 BC","Tombs","These Etruscan necropolises contain thousands of tombs, some organized in a city-like plan.[94]"
"Temple of Hera","","Italy","Europe","550 BC","Temple","Part of a complex of three great temples in Doric style.[95]"
"Tomb of Cyrus","","Iran","Asia","530 BC","Tomb","Tomb of Cyrus the Great, located in Pasargadae"
"Parthenon","","Greece","Europe","432â\u0080\u0093447 BC","Temple","In the Acropolis of Athens"
"Thracian Tomb of Kazanlak","","Bulgaria","Europe","300â\u0080\u0093400 BC","Tomb","Located near Seutopolis, the capital city of the Thracian king Seuthes III, and part of a large necropolis.[96]"
"Sanchi Stupa","","India","Asia","300 BC","Buddhist temple","In the village of Sanchi"
"Dhamek Stupa","","India","Asia","249 BC","Buddhist Temple","In Sarnath, Varanasi"
"Broch of Mousa","","Scotland","Europe","100 BC","Broch","Located in Shetland it is among the best-preserved prehistoric buildings in Europe.[97][98]"
"Dun Carloway","","Scotland","Europe","100 BC","Broch","Built in the first century BCE [99]"
"Lei Cheng Uk Han Tomb Museum","","Hong Kong","Asia","25 AD","Tomb"
"Colosseum","","Italy","Europe","70â\u0080\u009380 AD","Amphitheatre"

